Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 21:28:18+00:00,1477391255629963266,"Imagine calling $ftm a ghost chain when we have:

✅ More tx than $avax (c-chain)
✅More TVL than $matic
✅ More everything than $ada 

Valued at 2-10x less than each of them.",FTMAlerts,,1321,252,138528
2022-01-01 18:00:53+00:00,1477339058460319744,"New partner @relay_chain! Relay has enabled bridges to/from $METIS Andromeda+these networks:

$AVAX
$FTM
$ONE

https://t.co/2NFlf41yax

*Users bridging tokens from parent chain must wrap them 1st (AVAX&gt;wAVAX from Avalanche)

SOON: Bridges to/from Andromeda+all other major chains! https://t.co/oUjpNrd5wY",MetisDAO,Andromeda,590,167,134337
2022-01-01 01:54:11+00:00,1477095777063350280,"Which #crypto are you buying first in 2022?

$BTC
$ETH 
$BNB 
$VET
$KASTA
$XRP
$AVAX
$ADA
$MATIC
$SOL 
$DOGE
$TEL
$XLM
$EGLD 
$HERO
$SAND
$MANA
$EOS
$DOT
$CRO
$RISE 
$SHIB 
$FLOKI
$KISHU 
#BabyDoge
#Dogelon
#Saitama 
#SHINJA

👇🏻👇🏻👇🏻",TheMoonCarl,The Moon,1046,224,1163758
2022-01-02 22:06:07+00:00,1477763158068670466,"Fantom is faster than $BSC ✅
Cheaper than $AVAX ✅
Better community than $SOL ✅
More developer interest than $LUNA ✅
Much more scalable than $ETH ✅

You are underexposed anon. Train is leaving the station. $FTM will be $10 by mid February don't say I didn't tell you so🌹",FantomPhantom,Whales,741,144,900
2022-01-02 14:29:25+00:00,1477648226073387011,"GEN 1 MINTING IS LIVE!

SURPRISE!

All $AVAX, $JOE, $MIM VAULTS have been EXTENDED.

We are also introducing our TIMEBOMB VAULT. 72 hrs of HIGH $TIME APR to all $LOOT STAKERS.

Stake $LOOT to earn $AVAX, $JOE, $MIM &amp; $TIME!

Start minting and earning at https://t.co/n2o5o0zno6 https://t.co/Vm2BLyg9Ge",policethiefnft,Avalanche,271,189,11231
2022-01-02 11:40:53+00:00,1477605816320593920,"On sell out we will be swapping $AVAX for $TIME to stake in Wonderland.

This means we’ll be purchasing roughly 160 $TIME ($520,000).

70% of 7 days worth of rebase rewards will be given back to 30 holders each week in the $TIME lottery.

Built by Frogs, for Frogs. #FrogNation",AvaxFrogsFPC,,1547,125,14246
2022-01-03 16:27:49+00:00,1478040413017714690,"Crypto Giveaway week #7 
30 $AVAX 

Like, RT, Follow, tag @danielesesta so he can let the rest of frog nation know. 

What coin do you want for the last and final week?",ArcaneFund,"Chicago, IL",176,161,1075
2022-01-04 17:29:54+00:00,1478418425194053632,"New Listing Update: Avalanche (AVAX) wallet is open and trading has begun on https://t.co/0PDjOUdZZP

Markets: ETH-AVAX, BTC-AVAX, USD-AVAX, USDT-AVAX

For more information about $AVAX, visit https://t.co/rmua27eu22
@avalancheavax https://t.co/aH6Hg57Oxx",BittrexExchange,Seattle,486,132,1000515
2022-01-04 01:20:23+00:00,1478174437992189954,"As part of the December month-end index reconstitution process, @Avalancheavax ( $AVAX ) entered the Bitwise 10 Large Cap Crypto Index.

Methodology here: https://t.co/XfXohsKRPE https://t.co/BWBcvxZA86",BitwiseInvest,"San Francisco, CA",354,102,26276
2022-01-05 21:00:01+00:00,1478833687609311232,"🚨 1 #AVAX Giveaway🚨

🧙‍♀️Winter Witches🧙‍♀️

 🪄Deflationary NFT 

 🪞10-20% Reflections

🧹https://t.co/KalY1gZNlF🧙‍♀️

🧹Like + RT
🧙‍♀️Follow @WinterWitchNFT
 🪄  Tag 3 $AVAX Friends
🧙‍♀️Join https://t.co/A5icfP0t5o

#Avalanche #AVAXNFT #DeFi #cryptogiveaway #NFTGiveaway https://t.co/DStfYk8Qmq",AvaxGiveaways,Avalanche,509,799,48664
2022-01-05 18:11:30+00:00,1478791279173644291,"We'll pay any $ADA, $SOL or $AVAX bag holders to convert to $ATOM ecosystem

You have never joined $ATOM ecosystem? Install a @keplrwallet wallet and we'll send you

- 2 $ATOM
- 2 $OSMO
- 2 $JUNO

To qualify:

Retweet
Follow @Cosmostarterio
Follow @cosmos https://t.co/MOabNiTzRl",thevoice_io,,247,208,6237
2022-01-05 02:30:03+00:00,1478554355775201285,"🔥 Gas Fees 🔥
             
    $ETH transfer: $11.25
        #Uniswap: $96.46
        #Opensea: $100.21
        #Aave: $107.18
        #Curve: $64.31

    $SOL: $0.00084

    $BTC: $12.14

    $AVAX: $0.11

    $MATIC: $0.48

    $XRP: 0.00000828

    $XLM: $0.00000280",gassssxyz,,453,128,3604
2022-01-06 10:30:25+00:00,1479037634118782976,"$FTM TVL has increased +26.49% this week whilst all other chains have declined significantly. 

At this growth rate, $FTM can overtake $SOL and $AVAX by February.  

Fantom is proving once again which chain the people actually want to use.. https://t.co/i8igtP22NS",milesdeutscher,,529,96,161758
2022-01-06 10:06:00+00:00,1479031487051841537,"The first version of our website is finally live !!  

https://t.co/dAXlf2V5MG

Let's celebrate it with a #Giveaway 

Want to win 2 $AVAX ? It's easy :

⏩Follow @AvaxGuardians 
⏩ Like + RT + Tag 3 Friends

#AvaxNftRush #NFTs #Avalanche #NFTGiveaways #AVAX",AvaxGuardians,Avalanche C-Chain,434,412,1396
2022-01-07 21:11:50+00:00,1479561439157399552,"Transactions on Fantom crossed those on Avalanche this week as opportunistic capital moved over to farm high yields on stablecoins, analysts said. $FTM $AVAX

@shauryamalwa reports

https://t.co/lGmdCRtdjB",CoinDesk,"New York, USA",748,214,2927209
2022-01-07 10:52:24+00:00,1479405551142391809,"#Binance Loans adds Collateral Assets $AVAX &amp; $SOL, and launches Tiered Interest Rates.
https://t.co/NvuoaILCvC",binance,,1184,196,9292934
2022-01-08 11:02:31+00:00,1479770486406098953,"$LUNA, $AVAX, and $FTM flippening $ADA this year seem inevitable.",Route2FI,Newsletter  →,2101,155,260866
2022-01-09 19:17:53+00:00,1480257537886806017,"New Spot Market Listings 

$AVAX @avalancheavax 
$LUNA @terra_money 
$BNB @binance 

Available as collateral to leverage trade and borrow and for margin trading at https://t.co/ci37AaQs95 

Wrapped by @wormholecrypto  

With existing PERP markets, let the basis trading begin 🅱️🧑‍🌾",mangomarkets,Solana,543,81,77178
2022-01-09 15:17:21+00:00,1480197004697518085,"% below 2021 high...
Ethereum $ETH: -38%
Binance $BNB: -39%
Terra $LUNA: -41%
Bitcoin $BTC: -42%
Avalanche $AVAX: -47%
Solana $SOL: -50%
Chainlink $LINK: -50%
Crypto. com $CRO: -56%
Polkadot $DOT: -59%
Cardano $ADA: -64%
XRP $XRP: -64%
Shiba Inu $SHIB: -65%
Dogecoin $DOGE: -81%",charliebilello,Join free newsletter here...,5717,1334,453008
2022-01-09 10:45:50+00:00,1480128674183581696,"I used to exclusively use $SOL and $AVAX. 

One day I decided to try $FTM and the difference was light and day. 

Cheaper, faster, and a way more enjoyable experience. I’ve never looked back since.",milesdeutscher,,991,110,161758
2022-01-10 23:42:20+00:00,1480686474999865344,"On this day last year,

$BTC = $38,356.44
$ETH = $1,262.25
$BNB = $42.45
$SOL = $3.47
$ADA = $0.3049
$LUNA = $0.8460
$AVAX = $6.59
$MATIC = $0.03041
$CRO = $0.07785
$MANA = $0.1061
$AXS = $0.5751
$SAND = $0.04255",TheMoonCarl,The Moon,1219,236,1163759
2022-01-10 14:56:03+00:00,1480554033077276675,"$Looks pump 40X
Convert profit from $looks to $Avax 
Retire 
Avax becomes the reserve currency of the world 
Saylor goes bankrupt 
Tether rugs 
Zombies take over the world 
Avax holders go to heaven 
Everyone else continue to chill in Hell",Dehkunle,Blockchain,280,74,494323
2022-01-10 14:49:07+00:00,1480552287701544960,"Let's talk about #crypto #ProofOfStake validator requirements, shall we?! 

Not only #Cardano is the most #ecofriendly project but it is also among the cheapest ones! Look at the ridiculous stats for #solana, and look at $AVAX deposit requirements!
@IOHKMedia @adapools_org https://t.co/idrrNUAQAZ",AlessioDevPool,"Paris, France",332,95,875
