Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 19:00:35+00:00,1477354081790402564,"$ATOM $100
$DOT $100
$LINK $100
$CRV $50 
$VET $1

Pretty reasonable targets for 2022.",CryptoMichNL,"Amsterdam, The Netherlands",4747,455,621908
2022-01-01 14:51:12+00:00,1477291321769574400,"$ADA, $ATOM, $DOT. 

A few coins that should do great in 2022.",CryptoMichNL,"Amsterdam, The Netherlands",3772,295,621908
2022-01-01 01:54:11+00:00,1477095777063350280,"Which #crypto are you buying first in 2022?

$BTC
$ETH 
$BNB 
$VET
$KASTA
$XRP
$AVAX
$ADA
$MATIC
$SOL 
$DOGE
$TEL
$XLM
$EGLD 
$HERO
$SAND
$MANA
$EOS
$DOT
$CRO
$RISE 
$SHIB 
$FLOKI
$KISHU 
#BabyDoge
#Dogelon
#Saitama 
#SHINJA

👇🏻👇🏻👇🏻",TheMoonCarl,The Moon,1046,224,1163760
2022-01-02 12:41:41+00:00,1477621116826832896,"$RMRK is actually the thing I'm most excited about for the $DOT $KSM eco in 2022. 

It's going to give birth to innovative composable NFT implementations resulting in a hype-wave that infects other L1s and ecosystems.

NFTs equipping other NFTs and global item economies.",DonnieBigBags,,676,101,144027
2022-01-03 15:24:19+00:00,1478024432228708352,People still don't understand what $DOT will bring. Some think it'll only have 100 projects. They don't understand each parachain could have a hundred great projects = 10k projects running together on one blockchain giving them shared security and interoperability - Polkadot.,Kusamaximalist,,831,133,7717
2022-01-03 10:00:35+00:00,1477942963456073730,"I am dollar costing into $RNDR , $ADA , $EGLD , $DOT &amp; $SUPER at the moment 
They all looking cheap",Sheldon_Sniper,,2505,185,418014
2022-01-04 13:54:02+00:00,1478364097057996800,"Well if you haven't followed @MoonsamaNFT yet now's the time. In 2022 we will build the Kusamaverse. 

Drafting up our 2022 roadmap currently, which will be posted on @SubsocialChain 

Soon after I will be reaching out to the $DOT $KSM ecosystem projects who want to get involved.",DonnieBigBags,,428,61,144027
2022-01-04 07:42:00+00:00,1478270472513011712,"While #cardano was #1 for most developed #crypto on Github, $dot and #ethereum were close on its heels! https://t.co/QTI8jmhc9f",TheCryptoLark,New Zealand,712,118,1039326
2022-01-05 17:45:39+00:00,1478784773975912454,"We've secured a @Polkadot parachain slot for @efinityio, now what?

Find out what's next for #Efinity—Crowdloan rewards, parachain onboarding, development, and more: https://t.co/EEdqB4CZKH

$EFI $DOT #Polkadot #Parachain #NFTs",enjin,Singapore,646,130,538940
2022-01-05 00:40:54+00:00,1478526887358087169,"Giving away 10 $strong tokens to 10 different people.
All you have to do is 
Like
Retweet 
Follow 
Keep dms open

$btc $eth $sol $dot $ada $trias $vra $mana $luna $shill $vet $xrp
#Giveaway

For the 2nd and 3rd winners",TraderTenacious,,887,750,16132
2022-01-06 19:49:06+00:00,1479178228296204291,"Did you know $QNT is the ONLY available DLT interoperability solution certified for the whole UK government?🇬🇧

43 (Non) Ministerial Departments✅ 
415 Agencies and public bodies✅

..can utilize Overledger without needing to stringent Due Diligance🔥 

$QNT $XRP $XLM $DOT $ATOM https://t.co/OePPMoxZwt",SanNL11,,491,146,11556
2022-01-06 19:32:58+00:00,1479174169694638080,"$GLMR seems to be launching on January 11th. 

Things are going to get interesting for the $DOT ecosystem. 

I don't think many teams will migrate away from $MOVR but I think there's a LOT of new projects waiting to deploy and catch the $GLMR hype wave. https://t.co/qJP5lZlxsW",DonnieBigBags,,528,85,144027
2022-01-07 17:50:40+00:00,1479510813509500928,"$DOT $KSM = destined for greatness.

- Strongest developer growth since launch of any Web3 protocol 
- Largest dev community outside of Ethereum. 

At this present moment in time market sentiment may be bearish, but you CANNOT find a more bullish ecosystem that's about to pop off",DonnieBigBags,,635,78,144027
2022-01-07 12:52:33+00:00,1479435788693774338,"There is a bullish divergence on 1H $Flux chart. Waiting for a rebound!

#Flux @runonflux $ADA $DOT $PRE $KDA $KDX $SOL $AKT #AKT $ICP #ICP $GLM $STRONG $Cudos $Stack $HNT $FIL $SIA $SC $BTT $AR $HNT $SNM #DeCloud #internetcomputer https://t.co/slaJ5BVLA9",ppcfanta,,605,565,1505
2022-01-07 11:47:35+00:00,1479419438671618048,"🔁 Retweet, if you are bullish on $DOT for long term 🐂",PolkadotBoss,,527,220,24545
2022-01-08 18:58:44+00:00,1479890330640027649,"#BREAKING: $HBAR has overtaken $DOT in Overall Ranking on https://t.co/IZt3k9cepv 

@hedera currently ranks #4 out of 100+ projects reviewed on Blocknomy. https://t.co/mwVHk3ZQ4p",blocknomy,,1146,295,6702
2022-01-08 12:45:27+00:00,1479796389530021892,"1/ Welcome to my first kick-off recap for $KILT
I plan to do this on a monthly basis and will now kick-off with what happened since the $KSM auction.
This recap contains:
- launch wrap-up
- partnerships / announcements
- events &amp; info
- dyor
- Figures
$KSM $DOT @Kiltprotocol",Trobriand15,Degens homeland,397,82,18901
2022-01-08 04:33:00+00:00,1479672460442173440,"These are my top 10 #crypto holds 
#bitcoin
#ethereum
$usdc
$matic
$egld 
$luna
$wild
$dot
$bnb
$ramp

What would you change?",TheCryptoLark,New Zealand,1402,160,1039326
2022-01-09 23:27:32+00:00,1480320366052802562,"Giving away 10 $strong tokens to 10 different people.
All you have to do is 
Like
Retweet 
Follow 
Keep dms open

$btc $eth $sol $dot $ada $trias $vra $mana $luna $shill $vet $xrp
#Giveaway

For the 4th 5th and 6th winners",TraderTenacious,,689,607,16132
2022-01-09 20:26:28+00:00,1480274796265058308,"The big $DOT projects are finally going live this month with their tokens ( $GLMR $ACA etc). 

Fastest growing developer ecosystem. We haven't even witnessed the fruits of their labour yet. 

Wouldn't surprise me to see the dev number flip $ETH in the next years. https://t.co/oO62DlHeLN",DonnieBigBags,,745,156,144027
2022-01-09 15:17:21+00:00,1480197004697518085,"% below 2021 high...
Ethereum $ETH: -38%
Binance $BNB: -39%
Terra $LUNA: -41%
Bitcoin $BTC: -42%
Avalanche $AVAX: -47%
Solana $SOL: -50%
Chainlink $LINK: -50%
Crypto. com $CRO: -56%
Polkadot $DOT: -59%
Cardano $ADA: -64%
XRP $XRP: -64%
Shiba Inu $SHIB: -65%
Dogecoin $DOGE: -81%",charliebilello,Join free newsletter here...,5717,1334,453006
2022-01-10 18:20:47+00:00,1480605556448448512,"Tomorrow $GLMR is launching. 

Great to see @lyu_johnny @kucoincom so bullish. 

This is actually a historic moment for @Polkadot itself and @derekyoo + team will be leading the charge for the entire $DOT ecosystem. 

Excited for this. https://t.co/JyP9wbCKax",DonnieBigBags,,668,123,144027
2022-01-10 04:43:22+00:00,1480399844258852868,"Cryptocurrency % below 2021 all time highs

$ETH: -38%
$BNB: -39%
$LUNA: -41%
$BTC: -42%
$AVAX: -47%
$SOL: -50%
$LINK: -50%
$CRO: -56%
$DOT: -59%
$ADA: -64%
$XRP: -64%
$SHIB: -65%
$DOGE: -81%

(via @charliebilello)",WatcherGuru,"Texas, USA",967,181,1277712
2022-01-10 00:03:10+00:00,1480329331209560069,"2022 is the year of _____. 🧐

$BTC 
$ETH 
$BNB 
$VET
$XRP
$SFM
$AVAX
$ADA
$MATIC
$LTC
$SOL 
$DOGE
$TEL
$XLM
$EGLD 
$HERO
$SAND
$MANA
$EOS
$XVG
$DOT
$CRO
$FEG 
$RISE 
$SHIB 
$FLOKI
$KISHU 
#BabyDoge
#Dogelon
#Saitama 
#SHINJA",WatcherGuru,"Texas, USA",2529,664,1277712
2022-01-11 17:30:02+00:00,1480955170720677888,"Imagine the next wave of the bull run starts here, in conjunction with the beginning of @Polkadot season. 

Jerome Powell is probably market buying $DOT $KSM $GLMR $MOVR $KILT $RMRK $ROME and Moonsama NFTs. 

I heard he's coming to join us in the Kusamaverse",DonnieBigBags,,900,120,144027
2022-01-11 15:17:44+00:00,1480921879414251530,"Today is a huge deal for $DOT holders.

@Polkadot now has smart contracts thanks for the launch of $GLMR @MoonbeamNetwork",DonnieBigBags,,1786,256,144027
2022-01-12 17:37:01+00:00,1481319318587641861,"A quick review of #Layer1 &amp; #Layer2 #blockchain. Hold on, we also want to let you know more about Layer '-1' chain: $TRIAS and how it excels because of its bold design.
$FTM $LUNA $ICP $SOL $DOT $ATOM
https://t.co/0I3fflC1P3",triaslab,,465,128,72844
2022-01-13 18:14:52+00:00,1481691229209473034,"You find 1’000 USDT on your wallet &amp; you can buy one crypto! Which one:

$BNB
$SOL
$ADA
$DOT
$AVAX
$VPAD
$CWEB
$DIO
$RAIN
$LUNA
👇",MMCrypto,United Arab Emirates,2790,607,1109622
2022-01-14 12:50:59+00:00,1481972109501149188,"🔁 Retweet, if you think $DOT is the best crypto 🚀",PolkadotBoss,,887,419,24545
2022-01-15 16:59:45+00:00,1482397104463126530,"Giving away 10 $strong tokens to 5 different people.
All you have to do is 
Like
Retweet 
Follow 
Keep dms open

$btc $eth $sol $dot $ada $trias $vra $mana $luna $shill $vet $xrp
#Giveaway",TraderTenacious,,1945,1654,16132
2022-01-17 19:24:11+00:00,1483158225079857152,"⚔️THIS IS A GIVEAWAY!

10 $ROME UP FOR GRABS!

MUST WATCH THE WHOLE VIDEO FOR INSTRUCTION
@HouseOfMoonsama
@PanopticusV
@RiRi_gonewild

⚔️this post must be retweeted, liked and commented to qualify along with the instructions listed in the video
$DOT $KSM $ROME #Moonsama
thread https://t.co/c9Gbul67Q1",RiRi_gonewild,Dotsama island,390,200,13851
2022-01-17 09:33:48+00:00,1483009649322479618,"Giving away 20 $strong tokens to 2 people.
All you have to do is 
Like
Retweet 
Follow 
Keep dms open

$btc $eth $sol $dot $ada $trias $vra $mana $luna $shill $vet $xrp
#Giveaway",TraderTenacious,,1508,1309,16132
