Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 23:19:28+00:00,1477419229712367620,"NEW YEARS GIVEAWAY
7.7 $ETH in #nft divided by 7 followers 🏆
who retweets and likes this tweet. 
Winners in 72 hours.
Drop #eth wallet",ConcreteXCrypto,,347,319,42916
2022-01-01 22:54:59+00:00,1477413068166602752,"NEW YEARS GIVEAWAY
7.7 $ETH in #nft divided by 7 🏆 who retweets and likes this tweet. 
Winners in 72 hours.
Drop #eth wallet",pixelpartynft,LuckyBog 😎 TheMetaDealer,2452,2188,23271
2022-01-01 22:54:01+00:00,1477412827455438851,"🟡🟠🔴🟢🔵🟣⚪

💀😁 @Mr_Twofu $LFGK #P2E @Crypto_Moonboys #GamingNFTS on @AtomicHub⚛️

➡️https://t.co/yEAnaJ3YrC⬅️

☢️#BITCOINKIDARMY R HERE

RT, like, tag EVERYONE 🤟😎✋ 
#NFTGiveaway ❤️ 1 FREE #NFT

Drop @WAX_io addy below⬇️

$CRO $ETH $ETN $LTC $DIVI $MANA $XRP $ADA $WAXP 🏆 https://t.co/ry6nfJSriP",GraffitiKINGS,"London, England",653,588,83307
2022-01-01 22:39:31+00:00,1477409178696171529,"#WeedStrainsNFT 
Thank You Fam.
x5 #nft $10000 $eth to 5 persons who rts and like the tweet. https://t.co/d1DlNeuwKg",pixelpartynft,LuckyBog 😎 TheMetaDealer,718,638,23271
2022-01-01 21:38:51+00:00,1477393909537980430,"Do you want the Gelato Strain? Try to get one 🚀
0.03 #ETH 
Drop your $eth wallet
RT, Like + Follow https://t.co/RiK4cqmgHP",BogCrypto,LuckyBog The Metadealer 😎 ,589,510,7257
2022-01-01 21:16:39+00:00,1477388324566351873,I'm gonna Fucking Do It! x5 #nft $5.000 $eth to 5 random persons who RT and follow me.,pixelpartynft,LuckyBog 😎 TheMetaDealer,739,880,23271
2022-01-01 20:47:52+00:00,1477381080193847300,"#WeedStrainsNFT 
Thank You Fam.
x10 #nft $5000 $eth to 10 persons who rts and like the tweet. https://t.co/adAOTCZZ2D",pixelpartynft,LuckyBog 😎 TheMetaDealer,708,626,23271
2022-01-01 20:11:14+00:00,1477371858861363201,"#WeedStrainsNFT 
We are giving x20 whitelist #nft $eth away to 20 random persons who retweets and follows @MetaB10nicNFT. 20 winners in 48 hours.
#nfts #Giveaway #Ethereum https://t.co/EsE50HSXJt",pixelpartynft,LuckyBog 😎 TheMetaDealer,281,297,23271
2022-01-01 20:09:32+00:00,1477371433252798475,"Drop your $ETH address

Don't ask why 🎄❄️

Follow me and RT ❤ 

#NFTGiveaway #NFTCommunity #NFTs https://t.co/mgukYz8g7m",pandaanft,,597,575,67635
2022-01-01 20:04:50+00:00,1477370249444040710,"Drop your $ETH or $SOL address in the replies, follow me, RT + ❤
I'm gonna be dropping crypto to random wallets, HAPPY New Years !!!

To your success ❤",ConcreteXCrypto,,289,269,42916
