Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 22:53:45+00:00,1477412758752747520,"Dear @0xPolygon fam, in 2021 we achieved a lot. 🙏

- 100M+ wallets
- 3k+ apps
- 1B+ txs
- 6 new solutions (SDK, Avail, Hermez, Nightfall, Miden, Zero)
- Top Web3 names (Uniswap, Aave, OpenSea..)
- Big brands (D&amp;G, NFL, Macy's..)

Happy New Year, let's keep the magic going! 🦄💫",MihailoBjelic,Aiur,2315,313,52329
2022-01-01 21:28:18+00:00,1477391255629963266,"Imagine calling $ftm a ghost chain when we have:

✅ More tx than $avax (c-chain)
✅More TVL than $matic
✅ More everything than $ada 

Valued at 2-10x less than each of them.",FTMAlerts,,1321,252,138529
2022-01-01 21:16:38+00:00,1477388320480976897,"Results for the year chart:

The big chain winner in 2021 was #Fantom $FTM -- not #Solana or #Avalanche or $MATIC  -- despite all the hype. 

Fantom is *still* massively undervalued in terms of TVL and transactions and projects and market cap compared to it's peers. https://t.co/TyCPEczJm1",markjeffrey,"Marina del Rey, CA",952,230,49499
2022-01-01 12:24:22+00:00,1477254370001444865,"Featuring @0xPolygonZero,  @0xPolygonHermez, Polygon Miden, and Polygon nightfall in the deep dive piece on ZK technology 🔯 https://t.co/45lV8V7Mv7",0xPolygon,Metaverse,808,149,1608435
2022-01-01 12:05:29+00:00,1477249617766928385,"#MassBit is excited to officially announce the integration with @0xPolygon, as they will be adding their chain to our Cross-chain Indexing product!

👉Check out the full details here: https://t.co/RHRwVxcv2Q

#DeFi #Web3",massbitprotocol,All around the world,724,161,5101
2022-01-01 07:07:23+00:00,1477174600253546498,"$MATIC 𝐁𝐑𝐄𝐀𝐊𝐈𝐍𝐆: After the success of the Alpha version, The Sandbox confirms its migration to Polygon. 

#SAND",iftikharpost,Australia,1674,211,11771
2022-01-01 01:54:11+00:00,1477095777063350280,"Which #crypto are you buying first in 2022?

$BTC
$ETH 
$BNB 
$VET
$KASTA
$XRP
$AVAX
$ADA
$MATIC
$SOL 
$DOGE
$TEL
$XLM
$EGLD 
$HERO
$SAND
$MANA
$EOS
$DOT
$CRO
$RISE 
$SHIB 
$FLOKI
$KISHU 
#BabyDoge
#Dogelon
#Saitama 
#SHINJA

👇🏻👇🏻👇🏻",TheMoonCarl,The Moon,1046,224,1163767
2022-01-02 12:10:47+00:00,1477613338335285249,"RT ⚡️ IF YOU ARE $MATIC HODLER ✊

#MATIC #Polygon",iftikharpost,Australia,960,335,11771
2022-01-02 09:00:56+00:00,1477565562536423424,"⭐️MY HIME'SS2' (姫様) ⭐️
💜POLYGON💜(NOW!-Hime06,07,17,20)
@opensea  @0xPolygon 

Princess of various characters
Price:0.009-0.01
https://t.co/XmntboW1Tq

#NFTs #NFTCommunity #opensea  #nftart   #NFTTHAILAND  #nftcollectors  #NFTdrops  #NFTJapan  #NFTanime #Polygon #nftcollector https://t.co/4qCiaxRH2P",Himefreeze21,Thailand,103,81,6268
2022-01-03 23:55:06+00:00,1478152972425039874,"How long does it take you to swap $BNB for $ETH or $MATIC? What if we told you, you could do it in 1 click and it happens at block speed 🤯

Want to learn more about our Native Cross Chain feature for #EverBridge? Join our AMA on Jan 4 at 2:00PM EST 👇

https://t.co/3FG7aBy3nU https://t.co/4GI1EfKGLz",EverRise,Multi-Chain DeFi,582,259,95137
2022-01-03 23:05:18+00:00,1478140441455259648,"Gm everybody! Today, we’re announcing our NFT marketplace at https://t.co/keKBNAzKyy.

✦ Gasless: free minting + listing, no gas fees
✦ Instant royalties via an on-chain royalty standard
✦ Up to 10,000 editions
✦ Eco-friendly NFTs on the @0xPolygon network

Live now. More: https://t.co/p97240uqYm",Showtime_xyz,Web & mobile,1372,294,55357
2022-01-03 16:14:25+00:00,1478037040281255938,#Polygon💜 has a new look going into the new year and beyond! #paintitpurple,0xPolygon,Metaverse,2357,317,1608435
2022-01-03 14:30:13+00:00,1478010815768895493,"2021 was an amazing year for the #Polygon ecosystem!

From key #web3 projects like @Uniswap, @AaveAave, @Opensea, @Aavegotchi, @TheSandboxGame &amp; many more launching on the network to major moves in the #zk space, here's all that the community was upto.
👇

https://t.co/05EhdLErnD https://t.co/3CZAXiyBsr",0xPolygon,Metaverse,1886,385,1608435
2022-01-04 16:43:41+00:00,1478406791021006848,"6 tokens that are mentioned in both @blknoiz06 and @moneywithcarter's Q1 2022 thesis 

+ $JEWEL 
+ $NEAR 
+ $ATOM 
+ $SCRT 
+ $MATIC 
+ $LUNA 

https://t.co/RjyPk7oQiT
https://t.co/AhBHEmxAjI https://t.co/XRaXH78GcB",Gojo_Crypto,,612,148,28727
2022-01-04 14:00:23+00:00,1478365698057551877,Which projects do you want to see more of on #Polygon through 2022?,0xPolygon,Metaverse,721,190,1608435
2022-01-04 13:01:36+00:00,1478350902335610882,"Active addresses on @0xPolygon just spiked to over 500k.

Highest since October. $MATIC https://t.co/mplVDtugHq",NarbTrading,,684,107,7925
2022-01-04 09:16:41+00:00,1478294300358512640,"The @telcoin_team community is having a party rn 😉

Today @kucoincom confirmed to support deposit &amp; withdrawal services for $TEL via @0xPolygon, which saves a huge amount of fees and time for users.

👉https://t.co/D2n0cxXbd6

Wen v3.1? 👀

#polygon $MATIC #Telcoin #telfam https://t.co/twp5WkB4dU",PolygonDaily,PolygOnChain,354,108,61761
2022-01-04 08:45:27+00:00,1478286443025879041,$Matic vs $XDC https://t.co/VrTRGX0dnT,Ravikumar3J,"Karnataka, India",397,109,997
