Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 22:07:45+00:00,1477401183828520964,"🎁GIVEAWAY!🎁
📅Mint Date - 01/11/22

Prizes: 
🏆2X - 0.25 $SOL (90$)
🏆1X NFT - 1/1 Super Rare NFT

Must: 
1⃣Follow @koolk123456 / @highsocietynfts 
2⃣RT + LIKE
3⃣Tag 3 friends  
4⃣Join - https://t.co/47Am2lkYLB

Turn on notfications to avoid missing my giveaway
3 Winners
24 HR https://t.co/T1dDbEPPie",koolk123456,Discord closed ,156,139,187348
2022-01-01 22:00:02+00:00,1477399241886687234,"Kicking off 2022 we've got the most anticipated drop featuring exquisite art from @TekikaNFT - Dropping on Magic Eden Launchpad on 2nd Jan!

Public Sale: 10PM UTC
Supply: 5000 Tekika #NFTs
Price: 1 $SOL

Head over to https://t.co/KDshBTTtRF for more details, rewards and prizes!",MagicEden,Metaverse,995,795,332846
2022-01-01 21:21:47+00:00,1477389614591750155,"🎉#NFTGiveaway🎉

🎁0.5 $SOL to one lucky winner! 

To Enter:

1️⃣Follow me &amp; @OwlSocietyNFT 
2️⃣❤️&amp; RT
3️⃣📌Tag Friends 

⭐️Ends in 48hrs

#nftart #NFTCommunity #Solana  #NFT #NFTs https://t.co/EENQhE3Qxv",NFTPirate_,,790,702,38814
2022-01-01 21:01:48+00:00,1477384588024504324,"🚨🚨🚨 #NFTGiveaway 🚨🚨🚨

Best way to start a year is with awesome giveaway!

🎁🎁🎁

We are giving away:

1x 0.5 $SOL
1x @HorseClubSolana NFTs

To participate you have to:

1. Follow  @HorseClubSolana
2. RT and Like ❤️
3. Tag 2 friends

Good luck! 🐴

#Solana #SolanaNFT https://t.co/ofNWf1HPyr",HorseClubSolana,Metaverse,307,293,909
2022-01-01 20:27:55+00:00,1477376061029629955,"Congrats to our frens @OwlSocietyNFT for some explosive growth.

Floor is currently 4.65 SOL ATM
 💪 

Lets cheers them w/ a #NFTGiveaway and a 1 $SOL giveaway

To enter:
🎁Follow @OwlSocietyNFT
@CyberFrogsNFT 
🎁 Like / RT
🎁Tag 3 frens https://t.co/1eAKelv0Vy",CyberFrogsNFT,Solana,619,556,19554
2022-01-01 20:14:28+00:00,1477372673894367244,"🎁GIVEAWAY!🎁

🎉 To start off 2022 right, lets do a 1 $SOL giveaway.

Just follow @OwlSocietyNFT / @koolk123456  and RT.

They are up over 300% today on their first day on MagicEden. Probably nothing...

Winner in 24hrs.
#SolanaNFTs #NFTGiveaway https://t.co/UjUGBQXMaK",koolk123456,Discord closed ,295,361,187348
2022-01-01 20:04:50+00:00,1477370249444040710,"Drop your $ETH or $SOL address in the replies, follow me, RT + ❤
I'm gonna be dropping crypto to random wallets, HAPPY New Years !!!

To your success ❤",ConcreteXCrypto,,289,269,42916
2022-01-01 19:33:42+00:00,1477362415134130176,"73% Sold 💎🦾
550 / 2000 Remain. 🧠

Pass holders receive NFT Airdrops from projects we collaborate with &amp; exclusive airdrops from our teams future projects.

Price: 0.4 $SOL
Mint: https://t.co/AgCjXLqbV2
Join: https://t.co/2GZQNTqhpK",SolAirdropPass,,122,91,5955
2022-01-01 18:00:10+00:00,1477338876536664067,"We're giving away some more Whitelist Spots before our launch

Prizes:
- 5 Whitelist Spots (With OG role)
- 0.5 $SOL solana

Simply follow us (with notifications ON) + retweet + like

GL 🤗",VambNFT,,261,215,2924
2022-01-01 15:28:53+00:00,1477300804025528322,"Happy new year!🎊 

Happy birthday to me, I want to GIVE what I can BACK, drop your wallets below, some $SOL $WOOF $DYOR $INU $WEED getting airdropped.

Also if you ❤️ + RT
I am giving away 2 Tier 1 @enviroGallery passes.
I know this is not an APE, but 🚀🌙. 

❤️ TY for 800 👥 https://t.co/yLk3oMxrmn",solanaranker,,283,243,2730
2022-01-01 12:26:41+00:00,1477254952233803778,"Happy New Year🎉🎉🎉

4 $SOL for 2 Lucky persons!

To Participate:
 
👉Follow
👉Retweet
👉Leave a comment

OPEN DMs📩

#solGiveaway #Giveaway #solana #CryptoGiveaway",AndyVeblen,,453,480,6714
2022-01-01 11:19:28+00:00,1477238038950412292,"Happy New Year🎉

2 $SOL for a Lucky person 

To Participate:
 
👉Follow
👉Retweet
👉Leave a comment

OPEN DMs 📩

#solGiveaway #Giveaway #solana #CryptoGiveaway",Calliecrypto112,,392,415,9491
2022-01-01 11:00:56+00:00,1477233374418903040,"🚀🚀🚀 #NFTGiveaway 🚀🚀🚀

🥳 Let's start 2022 with this dope #pixelart project!
👉 Minting at 7AM UTC this 2nd Jan.
🪙 Price: 0.5 $SOL

🔥 Win 1x SolaPunk #NFT 🔥

✅ Like &amp; RT
✅ Follow @sola_punk &amp; @MintOfTheDay 
✅ Tag Friends

⏰ Draw in 24h!
🍀 Good Luck fellow Minters! https://t.co/c0u9kmhQI2",MintOfTheDay,Solana Beach,209,185,133424
2022-01-01 08:08:39+00:00,1477190015180591105,If this project doesn’t rug i will actually pay everyone who RT this 1 $SOL https://t.co/UNIa1xle51,wgmidiot,"Ghost Lake, Alberta",228,378,37200
