Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 22:54:01+00:00,1477412827455438851,"🟡🟠🔴🟢🔵🟣⚪

💀😁 @Mr_Twofu $LFGK #P2E @Crypto_Moonboys #GamingNFTS on @AtomicHub⚛️

➡️https://t.co/yEAnaJ3YrC⬅️

☢️#BITCOINKIDARMY R HERE

RT, like, tag EVERYONE 🤟😎✋ 
#NFTGiveaway ❤️ 1 FREE #NFT

Drop @WAX_io addy below⬇️

$CRO $ETH $ETN $LTC $DIVI $MANA $XRP $ADA $WAXP 🏆 https://t.co/ry6nfJSriP",GraffitiKINGS,"London, England",653,588,83306
2022-01-01 21:00:38+00:00,1477384291726381062,"Knowing the difference between various assets on the #FlareNetwork is made easy with this car analogy video. Be sure to check it out and brush up on your knowledge!

🔁RT for a chance to win $XRP / $CSC
https://t.co/ZvJ8qjjrBv",CommunityFlare,Subscribe 📺👉,252,284,104508
2022-01-01 18:08:01+00:00,1477340851021955079,"Welcome, 2022! From all of us at Ripple, we wish you a Happy New Year. 🎉 https://t.co/mRhUWKOlbc",Ripple,,6615,910,2526688
2022-01-01 17:03:17+00:00,1477324561368723456,2022 will likely be the year the biggest story in the #Crypto space unfolds: @Ripple vs @SECGov. Win for Ripple/#XRPLcommunity will put limits on @SEC_Enforcement power over crypto. A government win and the commission’s powers are enhanced to the point it could go after @ethereum,CGasparino,,3079,824,151662
2022-01-01 15:00:02+00:00,1477293544176070660,"🍾🏆👑 New Year #NFTGiveway 👑🏆🍾

.10 #XParrot NFT Tokens to 10 Winners! 🦜🦜

To enter    
✅ Follow @XParrotsNFT
✅ Like &amp; Retweet
✅ Tag 3 Friends
✅ Include fun Parrot meme 

⏰48Hrs 
#NFTartist #XRPL $XRP
#Giveaway #XRPLCommunity 
#NFT #NFTCommunity #NFTs #nftcollectors https://t.co/z8y8NsWng0",XRP_Airdrops,Your Wallet,929,784,75890
2022-01-01 12:36:44+00:00,1477257481097121793,"When former #SEC chair who alleged @Ripple misclassified #XRP turns up at 
One River Asset Management in Greenwich offering only competing tech of Bitcoin &amp; Ethereum, at best undermines the perceived impartiality of SEC decision making, at worst belies corruption.
#SettleJan14XRP https://t.co/5GlXiMdg0h",RippleEffect_12,,687,247,61
2022-01-01 11:53:45+00:00,1477246665363009548,"When I said let's make it a great year, not wait for one, this is what I meant. I just filed my official complaint with @CFPB against the @SECGov . @bgarlinghouse @Ripple @JohnEDeaton1 @EleanorTerrett @CGasparino @RoslynLayton #RETWEET #ETHGate let's finish strong! https://t.co/lpryWc4wsa",DigPerspectives,,1354,468,119289
2022-01-01 02:05:16+00:00,1477098566833246211,"#XRP - once Settlement and Relisting of $XRP, this will cause the BIGGEST fomo ever in crypto, XRP may be one of the most profitable crypto in 2022! Get ready! Red box are buy opportunities! 😉 Happy New Years! #Ripple #XRPCommunity

https://t.co/2WZ1Gd7hGU",jaydee_757,Virginia to California,946,178,23323
2022-01-01 01:54:11+00:00,1477095777063350280,"Which #crypto are you buying first in 2022?

$BTC
$ETH 
$BNB 
$VET
$KASTA
$XRP
$AVAX
$ADA
$MATIC
$SOL 
$DOGE
$TEL
$XLM
$EGLD 
$HERO
$SAND
$MANA
$EOS
$DOT
$CRO
$RISE 
$SHIB 
$FLOKI
$KISHU 
#BabyDoge
#Dogelon
#Saitama 
#SHINJA

👇🏻👇🏻👇🏻",TheMoonCarl,The Moon,1046,224,1163760
2022-01-02 23:42:41+00:00,1477787460390240257,"Where's @Ripple headed?

Check the jobs:
15 Liquidity engineers/analysts 
CBDC Automation Engineer
Sidechains Automation Engineer
2 AML/Sanctions jobs
NFT Program Manager
DeFi Marketing Manager
2 CBDC Product Managers
2 Tokenization Product Managers

https://t.co/FjwBx7863T",Mark_Phillips,DC / Northern Virginia,654,158,9141
2022-01-02 21:00:15+00:00,1477746585253593088,"The Spark token - $FLR - is the native asset on the #FlareNetwork. In this deep dive we cover the numerous use cases and #PassiveIncome opportunities associated with FLR!

🔁RT for a chance to win $XRP / $CSC
https://t.co/Qy1GMtPi58",CommunityFlare,Subscribe 📺👉,422,424,104508
2022-01-02 20:19:37+00:00,1477736357485182977,"Holy crap #XRPArmy!  I dug up a video and discovered the true identity of @thebearablebull!!!  Check it out!

#xrp $xrp #xrpl #XRPLcommunity #XRPtheStandard #XRPHolders #hodl #XRPLedger #xrpcommmunity https://t.co/1BvNz5lCcL",brianmonarch,"Sherman Oaks, Los Angeles",788,107,3976
2022-01-02 19:42:15+00:00,1477726955910873096,A few days ago I sold my $XRP to buy $SHIB I feel good about it.,Davincij15,"Dubai, United Arab Emirates",11187,1892,448510
2022-01-02 19:36:23+00:00,1477725477892726788,If you remember this from 2017 it leads to one of two conclusions regarding JP Morgan.  They were either working to hold @ripple back(and Brad would know this by now) or All The World's a stage.  I don't think there is any in between. https://t.co/nuDgEnwjSy,digitalassetbuy,United States,354,92,282787
2022-01-02 19:07:00+00:00,1477718085792673805,"With a single connection, receive access to:
➡️ The best #blockchain technology for global payments
➡️ On-demand liquidity as an alternative to pre-funding
➡️ Operational consistency through a common rulebook

See how #RippleNet works. https://t.co/t4pX4ldAlf",Ripple,,3164,926,2526688
2022-01-02 15:00:11+00:00,1477655971057082368,$XRP pump when no one is looking 🤷‍♂️ ⏰ https://t.co/o2EqsXu7mR,Bitboy_Crypto,"Atlanta, Georgia",1914,287,872013
2022-01-02 03:17:04+00:00,1477479025736093698,$XRP - The end goal: zero volatility bridge asset. https://t.co/E8brQd2wov,X__Anderson,,1006,217,82090
2022-01-02 00:18:26+00:00,1477434071517126656,RT if you believe 2022 will be the best year for $XRP holders!,cryptoassetsguy,,587,169,25518
2022-01-03 23:41:11+00:00,1478149470533656578,"$XRP RE-LIST XRP COINBASE!!!

#XRP 🚀🌕",realXRPwhale,The Moon 🌕,2115,442,59380
2022-01-03 23:31:10+00:00,1478146952042790913,"WHO SUES OVER $585 (no not 589)?

On May 3, 2018, a lawyer filed a putative class action against @Ripple and @bgarlinghouse because his client lost $585 trading #XRP. 
👇
https://t.co/68yz7J77nj",JohnEDeaton1,,699,128,211490
2022-01-03 22:03:16+00:00,1478124828557205512,"If you want to understand the grand vision of XRP as the global bridge asset, then read this part of a speech by David Schwartz.

It explains why it needs to be neutral and not issued by any sovereign nation. Liquidity plays a huge part.

$XRP https://t.co/N0tNeagHv5",X__Anderson,,521,132,82090
2022-01-03 21:00:52+00:00,1478109125527621632,"Creating a #PassiveIncome source does not have to be risky. As a $FLR holder you have a number of votes, one of them is a data provider vote which you can use to earn more $FLR! 

🔁RT for a chance to win $XRP / $CSC
https://t.co/oVRNkdpheB",CommunityFlare,Subscribe 📺👉,372,390,104508
2022-01-03 20:32:55+00:00,1478102092661338117,"💚 XRPhoenixAhgase GIVEAWAY 💚

💰100 $XRP | 72 hours | #TwitterPicker

💚 Follow me 
💚 Reply:#XRPhoenixAhgase + tag 5 friends 
💚 RT this

#XRPCommunity #XRPL #XRP  #XRPLcommunity #XRPArmy https://t.co/MBN8E2BXtJ",XRPhoeniXoge,GOT7 FOREVER,591,614,18106
2022-01-03 18:46:50+00:00,1478075398470737923,The SEC sues @ripple and gives Ethereum a Free Pass.  What's wrong with this picture?  👀👀👀 @katie_haun Where do you stand? @GaryGensler @HesterPeirce @SECHerrenLee @RepTomEmmer @WarrenDavidson @ewarren @RepMaxineWaters @SenToomey @SenTedCruz @PatrickMcHenry @RepDarrenSoto https://t.co/JjdRXSMx6Z,digitalassetbuy,United States,717,299,282787
2022-01-03 16:27:29+00:00,1478040325901877248,"Was I ACTUALLY wrong about my $10 $XRP EoY 2021 price prediction??

Rumor has it #XRP is already 3-4 digits on the private ledger and once SEC lawsuit is done, that will be reflected on the Public ledger.",Mel_Senechal,Canada,1416,159,18914
2022-01-04 23:31:48+00:00,1478509497136021505,"Central Banks around the world are beginning to explore some form of #CBDC to bring new opportunities to their communities.

💡 How many underbanked people in the world do CBDCs have the potential to help? Find the answer in our white paper. https://t.co/rqeTqKNZAF",Ripple,,1494,365,2526688
2022-01-04 22:48:34+00:00,1478498620500586496,"Go to https://t.co/zpFLRACg7N &amp; read the Grundfest letter. Grundfest warned Clayton,
@HesterPeirce @SECHerrenLee &amp; the other Commissioners that filing a case against @Ripple &amp; alleging #XRP a security would cause more damage to innocent holders than any non-fraud case in history. https://t.co/6FzerBXRDr",JohnEDeaton1,,676,235,211490
2022-01-04 21:00:29+00:00,1478471418421686285,"As part of the Flare Community podcast series I give a great overview of the #FlareNetwork, what it is and what makes it so special!

🔁RT for a chance to win $XRP / $CSC
https://t.co/coJVcEDw2e",CommunityFlare,Subscribe 📺👉,261,313,104508
2022-01-04 18:26:50+00:00,1478432752370339850,"$XRP Nothing will stop what is coming for XRP. It will melt faces😤

🚀🚀🚀 #XRP 🚀🚀🚀",realXRPwhale,The Moon 🌕,1667,201,59380
2022-01-04 18:25:32+00:00,1478432423687995394,"Four years ago today $XRP hit it’s all time high of $3.92 (livecoinwatch). 💰💵

New highs can take YEARS. In fact people that bought XRP in 2013 had to wait OVER 4 YEARS for such price action!! 😱

Will there EVER be a new high? Well… I think you know my bet 😎🔥👊🏻",MoonLamboio,"Midwest, USA",977,100,97078
2022-01-04 16:30:06+00:00,1478403372705267713,RippleNet's On-Demand Liquidity solution enables financial institutions to deliver instant cross-border payments without the need for pre-funding. Discover how @Azimo uses #ODL to power faster international payments into the Philippines. https://t.co/cHN6zGtpEs,Ripple,,3196,897,2526688
2022-01-04 14:32:09+00:00,1478373690442010625,"Congrats to #MLNTokenCommunity for another milestone. 

Never forget that, NO ONE WILL BE LEFT BEHIND.
🌙25K Twitter Follower 💖

🎁 3  Gift each 25 $XRP 
📢 Follow @mln_token + Retweet + Comment
⌛️ End 24 hours 

#MLNTokencommunity #MLNGift #Giveaway #MLNHolders #XRPLcommunity https://t.co/1sfC7sqnGK",mln_token,,708,717,25955
2022-01-04 06:20:03+00:00,1478249849250320387,"On this day—4 years ago, January 4th, 2018 $XRP hit an all-time high of $3.84 

We are primed to hit a new all-time high very soon $7-$13😎 

🚀🚀🚀🚀🚀 #XRP 🚀🚀🚀🚀🚀",realXRPwhale,The Moon 🌕,1518,243,59380
2022-01-04 02:46:09+00:00,1478196021574307841,"#XRPARMY!  Just found this new footage of @GaryGensler!  I can't believe what he's saying!  

#XRP $xrp #XRPCommunity #xrpl #XRPtheStandard #XRPLToken @thebearablebull @MoonLamboio @digitalassetbuy @XRPcryptowolf @XRP_Shark @MaxXrpHbar @realXRPwhale @XrpYoda @bgarlinghouse https://t.co/MgFSDtIHUY",brianmonarch,"Sherman Oaks, Los Angeles",702,167,3976
2022-01-04 01:13:02+00:00,1478172588148985861,I can’t help it but laugh when someone calls $XRP a shit coin 😂,iamrobertdobbs,"Los Angeles, CA",1764,113,1588915
2022-01-04 00:26:14+00:00,1478160808290897921,"Was $XRP a security back when the @SECGov was gonna run a node? or were the just getting intel for the $ETH mafia. so crazy, smh https://t.co/aQVbFPz3oZ",XRPGator,"California, USA",508,148,7363
2022-01-05 21:00:06+00:00,1478833709407158277,"The Flare Time Series Oracle (FTSO) is an integral part of the #FlareNetwork and offers participants the ability to earn $FLR as a #PassiveIncome by delegating their vote.

🔁RT for a chance to win $XRP / $CSC
https://t.co/MTCdVCGL8f",CommunityFlare,Subscribe 📺👉,270,288,104508
2022-01-05 19:47:04+00:00,1478815329157586947,Not good for meme stocks and crypto (minus $XRP because a court victory could push that higher) -- Fed officials at their meeting last month eyed a faster timetable for raising interest rates this year amid greater discomfort with high inflation. https://t.co/zdMGP73y3X,CGasparino,,739,194,151662
2022-01-05 15:45:55+00:00,1478754641185845251,"Will $XRP be above $3 by January 31st 2022?❄️

#XRP 🚀

No            Yes            Yes
👇             👇             👇",realXRPwhale,The Moon 🌕,2593,363,59380
2022-01-05 10:34:27+00:00,1478676260284997635,"GM Happy Cats!! 😺
Waking up to 18k followers was quite the shock!! Cause for celebration I'd say!

🚨180 $XRP up for grabs!🚨

1st place - 100 $XRP
2nd place - 50 $XRP
3rd place - 30 $XRP

❤LIKE
✅FOLLOW
🔄RETWEET
👥TAG TWO FRIENDS

Ends in 24 hours! Good luck all! 😺😺",TheHappyCatsNFT,Metaverse,2490,2258,23953
2022-01-05 07:43:42+00:00,1478633288004681732,"They think XRP is NOT a security👀

- Cory Johnson, former Chief Strategist @Ripple
- J. Christopher Giancarlo, former CFTC chairman
- Mary Jo White, former SEC chair
- Tom Emmer, congressman
- FSA (Japan), FCA (UK), Singapore,Switzerland
- XRP Community https://t.co/U1MtfwCreB",stedas,,456,105,102102
2022-01-05 02:30:03+00:00,1478554355775201285,"🔥 Gas Fees 🔥
             
    $ETH transfer: $11.25
        #Uniswap: $96.46
        #Opensea: $100.21
        #Aave: $107.18
        #Curve: $64.31

    $SOL: $0.00084

    $BTC: $12.14

    $AVAX: $0.11

    $MATIC: $0.48

    $XRP: 0.00000828

    $XLM: $0.00000280",gassssxyz,,453,128,3599
2022-01-05 00:40:54+00:00,1478526887358087169,"Giving away 10 $strong tokens to 10 different people.
All you have to do is 
Like
Retweet 
Follow 
Keep dms open

$btc $eth $sol $dot $ada $trias $vra $mana $luna $shill $vet $xrp
#Giveaway

For the 2nd and 3rd winners",TraderTenacious,,887,750,16132
2022-01-05 00:27:45+00:00,1478523580367388675,"Re-list $XRP 

It’s time.",davidgokhshtein,"New York, NY",1297,179,691260
2022-01-06 21:00:42+00:00,1479196247600816137,"Simply holding F-Assets on the #FlareNetwork will generate a #PassiveIncome by paying out $FLR via Reward Pools. Check the video below for more details!

🔁RT for a chance to win $XRP / $CSC
https://t.co/rWZqtigxzl",CommunityFlare,Subscribe 📺👉,415,382,104508
2022-01-06 20:25:08+00:00,1479187296503140359,"🚀Retweet if you BELIEVE!!!🚀
                   ⚔️ 🕯⚔️
               🕯             🕯
            🕯        📈      🕯
         🕯                          🕯
      🕯     $7-$13 $XRP    🕯
            🚀🚀🚀🚀🚀🚀",realXRPwhale,The Moon 🌕,1196,448,59380
2022-01-06 19:49:06+00:00,1479178228296204291,"Did you know $QNT is the ONLY available DLT interoperability solution certified for the whole UK government?🇬🇧

43 (Non) Ministerial Departments✅ 
415 Agencies and public bodies✅

..can utilize Overledger without needing to stringent Due Diligance🔥 

$QNT $XRP $XLM $DOT $ATOM https://t.co/OePPMoxZwt",SanNL11,,491,146,11556
2022-01-06 16:47:01+00:00,1479132408360415233,"New year, new you. 
 
Kick off 2022 with new opportunities and help Ripple build something transformative. Explore our open roles now. https://t.co/SNWHRSLeSW",Ripple,,2329,414,2526688
2022-01-06 16:42:34+00:00,1479131286220550150,"Tomorrow, it’s my pleasure to join @naomibrockwell to discuss the #XRPHolders 🆚 SEC 🆚 @Ripple case. 

#DecentralizedJustice
 
 Dangerous Telegram Malware Threat, and the lawsuit against the SEC https://t.co/kcaW9oyoTP via @YouTube",JohnEDeaton1,,682,189,211490
2022-01-06 16:02:21+00:00,1479121165108928518,"You receive $10,000, you can only buy one of the following crypto’s. What do you choose? 👇

- $BTC  
- $ETH
- $SOL
- $XRP 
- $ADA 
- $DOGE
- $SHIB
- $EGLD
- $CWEB
- $DIO
- $RMG
- $VPAD

Let me know 🚀👇",MMCrypto,United Arab Emirates,2750,667,1109638
2022-01-06 13:12:41+00:00,1479078466465193986,❗️❗️RT the shit out of this @ripple @GaryGensler @HesterPeirce @bgarlinghouse @SECGov @SenToomey @joerogan #xrp #eth #crypto #ETHGate https://t.co/HgBVCLqgjE,XrpYoda,,240,145,47567
2022-01-06 12:03:41+00:00,1479061103334281216,RETWEET IF YOU HAVEN’T SOLD A SINGLE $XRP 💪🏼,cryptoassetsguy,,1633,741,25518
2022-01-06 11:30:10+00:00,1479052670249975808,"24 $XRP #GIVEAWAY

1. YOU MUST BE FOLLOWING 
@StemCards
2. RETWEET &amp; LIKE THIS TWEET
3. COMMENT WHAT YOU WOULD DO WITH THE FREE #XRP 
4. TAG FRIENDS

⏰ 24 hours, let's go!

#XRP #XRPL #XRPCommunity #XRParmy #contest #NFT #NFTCommunity #NFTs #XummCommunity #XRPLcommunity https://t.co/c7RRQ60xIf",StemCards,United Kingdom,533,486,5243
2022-01-06 06:57:41+00:00,1478984097934553091,"$XRP Lets keep #relistXRP trending. 

Retweet this tweet &amp; comment below with #relistXRP 

🚀🚀🚀🚀#XRP #XRParmy🚀🚀🚀🚀",realXRPwhale,The Moon 🌕,1058,518,59380
2022-01-06 06:54:03+00:00,1478983180698861568,"I hope all you citizens have seen this! 

$XRP is being built in video game ecosystems since it settles in 4 seconds for fraction of a cent.

Anyone with access the internet will be able to play to earn (PoE) once more game develops finishing developing!

https://t.co/JE4oDNzKcA",UtilityTheory,VisionOfTheFuture,414,113,17269
2022-01-06 02:18:21+00:00,1478913800170520581,"The SEC is attacking many crypto projects, much of it behind closed doors.
The epic battle with #XRP / @Ripple will be precedent setting. But the XRP/Ripple community is fighting back. Friday 4pmEST I chat to the lawyer leading a lawsuit against the SEC.
https://t.co/EGU5aVU6Sm https://t.co/ym8rc8tbUJ",naomibrockwell,Wanderer,768,235,55498
2022-01-06 00:10:54+00:00,1478881728353681412,And people have the fucking balls to call $XRP a shit coin! Look at $ETH! That’s the real shit coin and it can take its gas fees and shove it right up the ass! 😩😩😂😂,thedarkscorpio_,"Warren, MI",1445,133,6047
2022-01-07 23:26:11+00:00,1479595246812114951,"In 2018 the SEC allowed @Ripple to take a 9% stake in @MoneyGram knowing it would pay MG in #XRP, who would sell that #XRP to the public. In 2019 @coinbase informed the SEC that Today’s #XRP isn’t a security. 👇 The SEC didn’t disagree. But 18 months later it sued claiming it is. https://t.co/teHXpF3ElJ",JohnEDeaton1,,1071,331,211490
2022-01-07 22:28:00+00:00,1479580607256707074,"The #Crypto Climate Accord aims to decarbonize #cryptocurrencies. Key objectives include:

🔹 Enable all blockchains to be 100% renewable
🔹 Provide open-source accounting standard for measuring emissions
🔹 Reach net-zero emissions by 2040

Learn more: https://t.co/A8AXRklpge",Ripple,,1813,474,2526688
2022-01-07 22:16:49+00:00,1479577793780502531,"The SEC v @Ripple case threatens every token and every platform. “You don’t have to root for Ripple, but you have to root against the ⁦@SECGov.⁩”- ⁦@JohnEDeaton1⁩ speaks to ⁦@naomibrockwell⁩ #CryptoBeat 👇🏻 https://t.co/8pSoVCclc4",CryptoLawUS,,1442,495,94551
2022-01-07 21:00:19+00:00,1479558541719580680,"F-Assets are assets which have been brought over from an external network to the #FlareNetwork, in a trustless manner. What's better is that F-Assets can generate you a #PassiveIncome, check the video for more details!

🔁RT for a chance to win $XRP / $CSC
https://t.co/pBV0y29DWT",CommunityFlare,Subscribe 📺👉,354,299,104508
2022-01-07 19:17:34+00:00,1479532684091215873,"Day 353: @Coinbase, #relistXRP NOW!
$XRP is NOT a security!  

#XRP",realXRPwhale,The Moon 🌕,1029,209,59380
2022-01-07 16:16:15+00:00,1479487054165815299,"I am riding this bitch $XRP to $0 or to another planet🚀

#XRP 🚀🌕",realXRPwhale,The Moon 🌕,1760,197,59380
2022-01-07 15:26:24+00:00,1479474508914470915,Nevermind the @Ripple lawsuit: Digivault becomes first accredited custodian to support XRP https://t.co/emVAJcZcw5 #XRP @DigivaultGlobal,BankXRP,Earth,1045,332,192242
2022-01-07 13:06:29+00:00,1479439297635921931,$XRP WILL GO ONE WAY OR THE OTHER. https://t.co/kdYZDkBRTi,XRPGAWD,Web 5.0,1515,181,3005
2022-01-07 12:16:29+00:00,1479426713499025409,$XRP is the heart of the future,iamrobertdobbs,"Los Angeles, CA",1885,191,1588915
2022-01-07 10:00:31+00:00,1479392495771566085,"Ripple, a founding member of the #DigitalPoundFoundation, have released a new report on 'The Future of CBDCs'. Check it out: https://t.co/N8Irr16cFd

@Ripple #Ripple #XRP #CBDC #CentralBanks #Money #FinancialInclusion #DigitalMoney #DigitalPound",digitalpoundfdn,"England, United Kingdom",1921,773,26299
2022-01-07 01:45:39+00:00,1479267960812228612,"Wow!  Our project has been discovered in the #XRPL!  We will be announcing our project real soon!  

Of course there will be airdrops, staking and rewards for early joiners of our project!

Follow us for more updates! 

Retweet this to show your support!

$MHX  #Metahouse $xrp",mhxproject,,484,268,3432
2022-01-07 00:27:56+00:00,1479248398817579009,"ITS NOT ABOUT THE TOKEN ITSELF

On January 1, 2021, I sued the SEC. It was 9 days after the SEC sued @Ripple declaring #XRP - including #XRP traded in the secondary market - investment contracts w/ Ripple. I argued from the beginning the conflicts and appearances of impropriety.",JohnEDeaton1,,2213,515,211490
2022-01-08 23:06:36+00:00,1479952708199141380,"🦧Trippy Apes Club Giveaway🦧
200 $XRP to 3 Lucky Winners.🚨

1st place - 100 $XRP
2nd place - 60 $XRP
3rd place - 40 $XRP

❤LIKE &amp; RETWEET
🙏FOLLOW
♻️TAG THREE FRIENDS
👉JOIN: https://t.co/mfSPbVhTro

Ends in 48 hours! Good luck all!
#XRP #xrpcommmunity",TrippyApesClub,https://nftlabs.to/discord,1199,1103,4475
2022-01-08 22:43:37+00:00,1479946923335462920,"I am considering submitting a #SaitaMask application on behalf of $XRP. 😉

#GetXRPonSaitaMask",DelCrxpto,Coast to Coast,1594,317,77694
2022-01-08 21:00:59+00:00,1479921096187129868,"When the #FlareNetwork launches it will become a Decentralised Autonomous Organisation (DAO). This is a term you should become familiar with as you will likely see it much more in the future! 

🔁RT for a chance to win $XRP / $CSC
https://t.co/UCSXW6jELA",CommunityFlare,Subscribe 📺👉,580,465,104508
2022-01-08 18:16:00+00:00,1479879577044492293,"Many SMEs rely on cross-border payments for growth, yet their needs aren't being met by the traditional system. With over $100B in potential revenue annually, the opportunity in SME B2B payments is quite large. 

Our report shares more:  https://t.co/t0H9d5icrg",Ripple,,2231,601,2526688
2022-01-08 16:51:55+00:00,1479858416344522766,"Bye Bye $BTC 
Buy Buy $XRP",Mel_Senechal,Canada,2476,241,18914
2022-01-08 07:59:35+00:00,1479724450555781121,"GM Happy Cats 😺
This is becoming habit waking up to new milestones! 19k!? 🙀 
So in the interest of habits!

🚨190 $XRP up for grabs!🚨

1st place - 100 $XRP
2nd place - 50 $XRP
3rd place - 40 $XRP

❤LIKE
✅FOLLOW
🔄RETWEET
👥TAG TWO FRIENDS

Ends in 24 hours! Good luck all! 😺",TheHappyCatsNFT,Metaverse,2090,1904,23953
2022-01-08 04:56:37+00:00,1479678403011878916,"It's been a long time coming for the @BankOfTanzania to implement TIPS domestically. TIPS is built on top of @mojaloop to enable interoperability between payment networks. @mojaloop takes advantage of @Ripple 's @Interledger  protocol for mobile payments.
https://t.co/7iuUA5iaTQ",_mars75,Earth,262,97,3712
2022-01-09 23:27:32+00:00,1480320366052802562,"Giving away 10 $strong tokens to 10 different people.
All you have to do is 
Like
Retweet 
Follow 
Keep dms open

$btc $eth $sol $dot $ada $trias $vra $mana $luna $shill $vet $xrp
#Giveaway

For the 4th 5th and 6th winners",TraderTenacious,,689,607,16132
2022-01-09 21:00:37+00:00,1480283390003879937,"Trustline are building a revolutionary credit network on the #FlareNetwork which will feature the very first trustlessly issued stable coin on the #XRP Ledger, Aurei. This is mind-blowing!

🔁RT for a chance to win $XRP / $CSC
https://t.co/vCSPSXw5QE",CommunityFlare,Subscribe 📺👉,672,583,104508
2022-01-09 19:12:01+00:00,1480256059335925767,"Ripple is committed to a clean, prosperous and secure, low-carbon future. That's why we have a plan to reach carbon net zero by 2030. 🌱 See how we're working towards that goal. https://t.co/W5nZsfZxYD",Ripple,,3407,803,2526688
2022-01-09 17:52:47+00:00,1480236120575287299,"The Complaint 🆚 @Ripple @bgarlinghouse &amp; @chrislarsensf claims XRP has no utility &amp; the founders/CEO sale XRP to “enrich” themselves. The SEC made the same claim during oral argument. If the SEC truly believed these claims, why didn’t it seek an injunction to stop ongoing sales? https://t.co/uQF5fNiXB9",JohnEDeaton1,,1530,369,211490
2022-01-09 15:17:21+00:00,1480197004697518085,"% below 2021 high...
Ethereum $ETH: -38%
Binance $BNB: -39%
Terra $LUNA: -41%
Bitcoin $BTC: -42%
Avalanche $AVAX: -47%
Solana $SOL: -50%
Chainlink $LINK: -50%
Crypto. com $CRO: -56%
Polkadot $DOT: -59%
Cardano $ADA: -64%
XRP $XRP: -64%
Shiba Inu $SHIB: -65%
Dogecoin $DOGE: -81%",charliebilello,Join free newsletter here...,5717,1334,453004
2022-01-09 14:39:05+00:00,1480187376492236802,Whether @Ripple sold #XRP as security is irrelevant to retail. #Judgenetburn must urgently differentiate between @Ripple not registering sales with @SECGov and the secondary market #XRP is a tradable bridge asset on a decentralised ledger #XRPL @SECGov has no right to sue retail,motisxrp,United Kingdom,898,162,2711
2022-01-09 12:00:21+00:00,1480147426862571521,"🎁#XCROC #Giveaway🎁

0.25 $XCROC tokens each to 4 lucky winners✨

🐊Like &amp; Retweet
🐊Follow @XRPLCROC &amp; Me
🐊Website : https://t.co/4Lni9jKDLm

Ends 48hrs #TwitterPicker for transparency

#XRPCommunity #XPUNKCommunity #XRP $XRP #XRPLcommunity #XRPArmy #XRPL #Giveaways https://t.co/hqhJ946Pgn",shawnmayj,Japan 🇯🇵 Metaverse,553,532,40110
2022-01-09 05:29:00+00:00,1480048943190790149,Caught this at the #BYU game tonight! well done who ever this was! 👍🔥🔥@Ripple! https://t.co/PyuzDgSecU,ISO_XRP, USA,3564,523,7822
2022-01-09 05:00:31+00:00,1480041775007948802,"🧪NFT Labs #XRP #Giveaways 🧪
Let see if guys can get us to 10k followers!💕

200 $XRP to 3 Lucky Winners.🚨
1st place - 100 $XRP
2nd place - 60 $XRP
3rd place - 40 $XRP

❤LIKE &amp; RETWEET
✅FOLLOW
♻️TAG THREE FRIENDS
👉JOIN: https://t.co/YuJMz8QEZT

💰Ends in 48 hours!
#XRP #XRPL https://t.co/EIb3IacptW",NFTLabs_,https://nftlabs.to/discord,894,863,19653
2022-01-09 03:43:35+00:00,1480022415296114691,"SEC has no chance of winning the $XRP lawsuit 🦾

Retweet if you agree #XRParmy 

🚀🚀🚀 #XRP 🚀🚀🚀",realXRPwhale,The Moon 🌕,3003,1243,59380
2022-01-09 00:33:52+00:00,1479974671437242376,"Why I'm super bullish on $XRP right now.

It was confirmed that when they mention instant settlement, that has to include XRP in Ripplenet. I wasn't sure if that could achieved with traditional nostro/vostro but apparently not. It HAS to include XRP settlement.

1/6 https://t.co/YFpjM2qSea",X__Anderson,,1351,339,82090
2022-01-10 21:56:00+00:00,1480659714925113347,"""XRP is used as a currency to buy underlying real security @ripple shares"" -@JohnEDeaton1 @linqtoinc @Nick_Burrafato @GaryGensler @HesterPeirce @SECHerrenLee https://t.co/1dvoE7M78X",digitalassetbuy,United States,756,199,282787
2022-01-10 21:00:12+00:00,1480645676388265989,"Expanding your knowledge surrounding #Songbird &amp; Flare is essential if you want to unlock their full potential.

But if you're new to the space, learning the fundamental terminology should be the first step!

🔁RT for a chance to win $XRP / $CSC
https://t.co/H3NMzDEB1u",CommunityFlare,Subscribe 📺👉,375,378,104508
