Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 21:47:25+00:00,1477396065326272512,"What a great way to enter the new year; while closing in on $1bn market cap, @DappRadar has it's 30 day aggregative volume showing @DefiKingdoms in 1st place, over @AxieInfinity with $1.01bn on 1/01, Happy New Year indeed!

@harmonyprotocol @avalancheavax #threecommaclub https://t.co/GJsSfI5COy",DreamerDFK,,448,114,4797
2022-01-01 21:16:38+00:00,1477388320480976897,"Results for the year chart:

The big chain winner in 2021 was #Fantom $FTM -- not #Solana or #Avalanche or $MATIC  -- despite all the hype. 

Fantom is *still* massively undervalued in terms of TVL and transactions and projects and market cap compared to it's peers. https://t.co/TyCPEczJm1",markjeffrey,"Marina del Rey, CA",952,230,49498
2022-01-01 18:00:53+00:00,1477339058460319744,"New partner @relay_chain! Relay has enabled bridges to/from $METIS Andromeda+these networks:

$AVAX
$FTM
$ONE

https://t.co/2NFlf41yax

*Users bridging tokens from parent chain must wrap them 1st (AVAX&gt;wAVAX from Avalanche)

SOON: Bridges to/from Andromeda+all other major chains! https://t.co/oUjpNrd5wY",MetisDAO,Andromeda,590,167,134337
2022-01-01 17:07:21+00:00,1477325586993397764,"Trader Joe is committed to driving the continued expansion of #Avalanche and plans to become a hub for DeFi innovation and an ambassador for NFT culture

Early Q1:
-Rocket Joe: DeFi innovation
-Tokenomics: Complete overhaul
-Decentralised Marketplace

https://t.co/SYnbi3n6dM",traderjoe_xyz,Avalanche,849,214,148032
2022-01-01 14:00:44+00:00,1477278620343275523,"2021 was a big year for #Avalanche, and the growth of the platform is all because of you, the builders and community members that makes this ecosystem so great!

Cheers to another year together.... 2022 WAGMI 🔺 https://t.co/Q6Z7GHzyyW",avalancheavax,Worldwide,1447,422,729518
2022-01-01 13:50:38+00:00,1477276080843149312,@Nibellion How the avalanche arc started https://t.co/VtAQRVS0x4,GenerationGameX,Westopolis,6388,964,485
2022-01-01 02:00:04+00:00,1477097260471181314,"""We started by launching Alpha Homora V2 on the exponentially growing blockchain network, Avalanche, and received ~500 million in TVL in less than 2 months."" - @AlphaFinanceLab

Onwards to 2022! https://t.co/2BvREu95o5",avalancheavax,Worldwide,527,186,729518
2022-01-02 23:24:07+00:00,1477782791022649350,"🎊 #NFTGiveaway 🎊

🎁 1 lucky winner will get a #NFT! 

Stay tuned 👀

To Enter:

1️⃣Follow @NFTLEMON_ &amp; @ArchangelX_Coin 

2️⃣❤️ &amp; RT ♻️

3️⃣  Tag 3 friends &amp; join the discord : https://t.co/EhXcFBDZRs

⏳Ends in 48hrs...

#nftart #NFTCommunity #Avalanche #NFTs #AVAX https://t.co/rJrVThQWka",NFTLEMON_,CONTACT US for a promotion 💳,298,258,41153
2022-01-02 22:07:58+00:00,1477763624240304129,"$100 in 24 hours.
---
🔥 Retweet &amp; Follow @AvaxGiveaways 
🔥 RT + ❤️ their pin
---
𝓦  #Avalanche #Giveaways",WlZARDNFT,,533,1616,179730
2022-01-02 19:52:55+00:00,1477729639317581827,"🗞️ 1⃣ #AVAX 🎁 #GIVEAWAY 🗞️

sponsor: https://t.co/bHYfHiDvQz 🔗

""#1 source for #news on #Avalanche"" 👌

RULES:
FOLLOW @TodayAvalanche ✅
TURN notifications ON ✅
COMMENT YOUR FAV #StableCoin on Avalanche ✅
LIKE &amp; RT📌✅

Ends IN 48 Hours! 🛑
#AVAX #DeFi #WEB3 #AvawareUSD",AvaxGiveaways,Avalanche,274,264,48664
2022-01-02 18:33:15+00:00,1477709591173484547,"$150 GIVEAWAY 

- retweet &amp; join discord (post proof)
 https://t.co/8hEdK6PAk3

End 24 hours
---
Bee garden 🤩
A bee game on the avalanche network Participate the game &amp; reward AVAX every day 
70% of tokens are burned🔥

Contract address-0xc118D77bAf86a93EC41d867675c48C98B19953Fd https://t.co/65ey66TGpM",Missypromotes, My Ongoing Giveaways 👉,493,1857,287344
2022-01-02 18:15:28+00:00,1477705113665900545,"INTRODUCTION TO POLICE AND THIEF P2E NFT GAME ON AVALANCHE 

This is one of the best ways to earn passive income in DEFI and I’ll explain why 

#THREAD",Mrbankstips,Earth  ,332,146,213277
2022-01-02 15:37:15+00:00,1477665296794238981,First chain to deploy #Avalanche ! https://t.co/vff6yvq4cO,danielesesta,🌖,1384,127,304188
2022-01-02 15:18:03+00:00,1477660468034498568,"Bee garden🚀
A bee game on the avalanche network
Participate in the game and reward AVAX every day
70% of tokens are burned
Avalanche Network Team Sponsor
Contract address-0xc118D77bAf86a93EC41d867675c48C98B19953Fd
Join Discord and participate in the game: https://t.co/FWM0GapDBK https://t.co/33DoFrerbn",LukaEvans_,"Miami, FL",1142,1128,972094
2022-01-02 15:14:26+00:00,1477659558080233472,"An innovative DEFI + NFT P2E game on Avalanche where you constantly earn $LOOT rewards for staking your Police or Thief NFTs. Earn $Wavax $Joe $Mim and $Time by staking your $LOOT rewards for insane APY🚀

I’ll make a well detailed thread on how to get started, RT if interested. https://t.co/lASr7XacTt",Mrbankstips,Earth  ,89,104,213277
2022-01-02 11:45:05+00:00,1477606872215691271,"My top 5 bridges (if you don't want to use CEX):

1. cBridge
2. Wormhole
3. Terra Bridge
4. Synapse
5. Multichain

If you know how to use them you can transfer freely between Ethereum, BSC, Solana, Terra, Avalanche, Fantom, Polygon, Cosmos, Harmony, Arbitrum, Optimism, and Metis.",Route2FI,Newsletter  →,1703,351,260866
2022-01-02 11:22:46+00:00,1477601253693788165,"👽 1⃣0⃣0⃣0⃣ $AVE 💰 #GIVEAWAY! 👽

SPONSOR: https://t.co/iJXo1F8mTe 🔗

""Making #DeFi on #Avalanche Great"" - #Avaware 👌

RULES:

▶️ FOLLOW @AvawareAVE ✅
▶️ TURN notifications ON ✅
▶️ TAG A #CRYPTO #INVESTOR
▶️ UPDATE YOUR PROFILE PIC ⤵️
▶️ LIKE &amp; RT📌

ENDS in 42 HOURS!
#AVAX https://t.co/43NWViVOoy",AvaxGiveaways,Avalanche,1105,1190,48664
2022-01-03 23:27:01+00:00,1478145907841552389,"🚨1 #AVAX &amp; 30 🧲$MAG Giveaway🚨

🧲Magnet DAO🧲

✅To Enter 

⚡️RT + Like ♻️
⚡️Follow @Magnet_DAO 🧲
⚡️Join https://t.co/NLaExRSkMW 🎙️

Learn about Magnet DAO 👇

https://t.co/E4aKfiVr01

#AVAX #Avalanche
#MagnetDAO #cryptogiveaway #DeFi $MAG https://t.co/SwPb0wywwE",AvaxGiveaways,Avalanche,359,347,48664
2022-01-03 22:00:15+00:00,1478124072001314826,"Get an inside look at @AvalaunchApp and how blockchain is driving the future of community-driven fundraising 🔺

Founder @MarkStanwyck breaks down the platform and what sets it apart in this @MoralisWeb3 #Avalanche Hackathon workshop tutorial ⬇️
https://t.co/W5yUTnU72L",avalancheavax,Worldwide,533,214,729518
2022-01-03 21:39:28+00:00,1478118841611960331,"🐋 2⃣5⃣0⃣ $AUSD 🎁 #GIVEAWAY! 🐳

SPONSOR: https://t.co/rvWXQemGCr 🔗

2ENTER:

▶️FOLLOW @OrcaDAO ✅
▶️TAG A #CRYPTO INVESTOR ✅
▶️LIKE &amp; RT THEIR 📌

ENDS IN 48 HOURS!🛑
#Avalanche #AVAX $ORCA $AVAI #DeFi",AvaxGiveaways,Avalanche,386,390,48664
2022-01-03 21:04:33+00:00,1478110055757074432,"Starting the year off strong 💪

Bridge your assets over to try out the numerous applications and platforms built on #Avalanche 
https://t.co/56vilNYD0C https://t.co/0XqOkAyiqM https://t.co/wbi8gYVbvH",avalancheavax,Worldwide,808,254,729518
2022-01-03 18:13:02+00:00,1478066891117707266,⚠️WARNING⚠️ Avalanche danger remains HIGH throughout the Cascades. Avoid travel in or below avalanche terrain. Visit https://t.co/57kpwedKUW for daily avalanche forecasts before heading into these areas. https://t.co/E6urUbV7Ut,waDNR,"Olympia, WA",178,86,48569
2022-01-03 18:00:30+00:00,1478063736191692806,"Want to learn how @FrontierDotXYZ is making crypto portfolio management easy? Drop in to the #Avalanche AMA this Wed with Frontier's CEO, Ravindra Kumar (@ravidsrk)!

📆 Wednesday, January 5
⏰ 11am ET
📍 https://t.co/b6zmujpYOW https://t.co/hYjSa902hr",avalancheavax,Worldwide,525,269,729518
2022-01-03 17:56:57+00:00,1478062842989490177,"Welcome to the #Metisverse! $METIS is building: 

Hub for entire Web3 economy
Tons of use cases
Portal to Web2
Links to EVERY major network (#BSC #ETH #Terra #Fantom #Solana #Avalanche #Polygon #Near #Cosmos etc)
DAC infrastructure
Metaverse
+ more!

2022: YEAR OF THE METISVERSE https://t.co/U0ZQqcKKUC",MetisDAO,Andromeda,443,135,134337
2022-01-03 17:07:06+00:00,1478050296123199489,"Due to heavy snowfall, poor visibility &amp; avalanche danger west of the summit, I-90 will remain closed between North Bend (MP 34) to Ellensburg (MP 106). An update will be provided at 5 p.m. https://t.co/JukJ1yaa9J",SnoqualmiePass,Snoqualmie Pass,181,58,81013
2022-01-03 17:00:09+00:00,1478048547161272320,"Attention subnetoooors!

The year of the subnet begins with a special episode of Subnet Show.

Gabriel and I take you through everything you need to know to understand the next phase of Avalanche's growth.

It's all about Subnets baby.
https://t.co/KY6OB2cmil",das_connor,,322,103,11053
2022-01-03 16:31:12+00:00,1478041263425261569,"(1/2)
➡️I-90 remains closed from N. Bend to Eburg. 
✅Crews are preforming avalanche control.
✅Snowing at 1-2 inches/hour.
✅19 inches of snow fell overnight.
✅No est. reopening &amp; updates will be provided throughout the morning.  
📸 Avalanche control in progress https://t.co/5Ah5H9FLqR",SnoqualmiePass,Snoqualmie Pass,441,103,81013
2022-01-03 14:55:36+00:00,1478017205753237506,"anotha one...

https://t.co/LpxU9dtyXy https://t.co/JMVEPbo1NN",avalancheavax,Worldwide,1363,350,729518
2022-01-03 14:35:13+00:00,1478012073032495109,"🧙‍♀️ 1⃣ #AVAX 🎁 #GIVEAWAY! 🧙‍♀️

sponsor: https://t.co/Pffva5cW9e 🔗

#NFTCollection of beautiful, badass women 👑 Launching Jan 20"" 👌

RULES:
▶️ FOLLOW @WanderellaCo ✅
▶️ JOIN https://t.co/Kqlb4SRi0e ✅
▶️ TAG AN #AVAXNFT COLLECTOR ✅
▶️ LIKE &amp; RT ♻️

ENDS in 48 HOURS!
#Avalanche https://t.co/KYWTr9ydaU",AvaxGiveaways,Avalanche,318,317,48664
2022-01-03 10:29:53+00:00,1477950334664388609,"🐧 1⃣ #AVAX 🎁 #GIVEAWAY! 🐧

Sponsor: https://t.co/kZh0xyfiVv 🔗

""Explore and discover all #Avalanche has to offer in a fun retro inspired 2d metaverse!""

RULES:
🐧 FOLLOW @AvaxPenguinFam ✅
🐧 TAG AN #AVAX FREN ✅
🐧 LIKE &amp; RT♻️

ENDS in 48 HOURS!🛑
#Avalanche #NFTs #Metaverse",AvaxGiveaways,Avalanche,537,531,48664
2022-01-03 10:07:02+00:00,1477944585838022660,"Helmet cam video captures moment a dog is rescued after being swept away by an avalanche and buried in the snow for over 20 minutes.

One of the men involved in the rescue told @ABC News the dog, named Apollo, appeared to be fine other than an injured leg. https://t.co/RJZ6iKyFCN https://t.co/bFaoGRD5ZT",ABC,New York City / Worldwide,764,131,17644220
2022-01-03 05:03:20+00:00,1477868155921965058,"DEFI PULSE AVAX is the first decentralized reserve on Avalanche. Get in before the launch Soon!

TG:https://t.co/wnZ7nV81D9
Here is the audit of Defi Pulse Avax,
Defi Pulse Avax Smart contract audit by INTERFI ECHELON. https://t.co/0BrxIZyBAr",CRYPTOH32910421,,688,750,1908
2022-01-03 04:24:16+00:00,1477858325454721024,"Been working on a Subnet idea for @avalancheavax for @pangolindex. 

I call it Camelot

MIT licensed and on @github here https://t.co/gqPkwRxnId 

Would love feedback from @_patrickogrady @das_connor @cgcardona",jtrollip,"Gold Coast, Queensland",311,75,3940
2022-01-03 02:30:26+00:00,1477829675472805892,"Nearly to half a million Avalanche Twitter Followers.

What an incredible year!

If you're new, check out the hundreds of apps on Avalanche: https://t.co/tHhnyOnyXl https://t.co/e7gy5elp3J https://t.co/8nPvbDQvto",avalancheavax,Worldwide,693,217,729518
2022-01-03 02:03:00+00:00,1477822772650950661,Watch Big Mountain Freeride skier Parkin Costain backflip over an avalanche 🙀 https://t.co/MpgzQpuH2q,nowthisnews,The Internet & NYC,949,214,2739913
2022-01-04 21:39:36+00:00,1478481264441241603,"🛡️ NEW #AVAWARE #NFTdrop! 🛡️

Series: #Avalanche Friends #NFTs
Welcome: https://t.co/leI26lrKQG

Buy: https://t.co/qArsUJW1Zp🔗

Read More: https://t.co/q8VbEP1Jlh 🔗

ENTER 1000 $AUSD #GIVEAWAY:

FOLLOW @AVME_IO✅
BUY The NFT✅
TAG an #AVAX user✅
LIKE &amp; RT♻️

Ends In 7 Days! 🤑 https://t.co/yhG3M88vE6",AvawareAVE,Avalanche C-Chain,226,187,38061
2022-01-04 21:31:48+00:00,1478479299023937537,"Round 2! We’ll airdrop a huge amount of $IMPR after our launch to people who RT + follow @imperio_money 

Drop your wallet address below ⬇️

#OHM #AVAX  #TIME #IMPR #STAKING #ALTCOIN #AVALANCHE  #FROGNATION",imperio_money,Luxembourg,286,386,4152
2022-01-04 17:30:00+00:00,1478418449164472322,Dramatic video captured the moment a dog named Apollo was rescued after being swept away by an avalanche and buried in snow in Colorado. 🐶❄️ https://t.co/WsscXTGqHe https://t.co/SYdPaBFo3L,ABC7,,532,74,1216777
2022-01-04 17:29:54+00:00,1478418425194053632,"New Listing Update: Avalanche (AVAX) wallet is open and trading has begun on https://t.co/0PDjOUdZZP

Markets: ETH-AVAX, BTC-AVAX, USD-AVAX, USDT-AVAX

For more information about $AVAX, visit https://t.co/rmua27eu22
@avalancheavax https://t.co/aH6Hg57Oxx",BittrexExchange,Seattle,486,132,1000515
2022-01-04 14:51:59+00:00,1478378680942575619,"Since September 1, 2021, Avalanche added 1.3 million new wallet addresses.

That's it. That's the tweet.",jayks,"Brooklyn, NY",572,107,25182
2022-01-04 13:45:24+00:00,1478361926065442822,"gm CT!

Thanks to partnerships with @TheBoringDAO @CelerNetwork @relay_chain @PolyNetwork2 you can now bridge to/from $METIS and #BSC #ETH #Avalanche #Fantom #Harmony #Optimism #Arbitrum #GnosisChain

Coming soon: Bridges to #Solana #Polygon #Terra &amp; every other major blockchain! https://t.co/vzEioM5O8x",MetisDAO,Andromeda,389,110,134337
2022-01-04 12:26:25+00:00,1478342050672439305,".@rainmakerXokada ""Avalanche DDT""

Sign up Now &amp; Stay tuned to https://t.co/CcdQ1XamUA

#njpw #njwk16 #njpwworld https://t.co/rKBBz2bVMS",njpwworld,東京 港区,497,89,209624
2022-01-04 11:28:02+00:00,1478327358021062657,"👑 1⃣ #AVAX 💰 #GIVEAWAY 👑

TO ENTER:
▶️ FOLLOW @m3t4farms ✅
▶️ TURN notifications ON ✅
▶️ TAG YOUR FAVORITE #AVALANCHE PROJEK
▶️ LIKE &amp; RT📌

ENDS IN 48 HOURS! 🛑
#AVAX #BUIDL #AVAWARE #WEB3 #DeFi",AvaxGiveaways,Avalanche,459,452,48664
2022-01-04 07:05:33+00:00,1478261301105160192,"The rate at which the 3rd wave is progressing, it seems an avalanche of COVID cases are coming in the next few weeks. Modi govt is making the same mistakes it did during the 2nd wave, which killed lakhs.

PM Modi is himself often seen without masks. Will this govt ever learn?",kharge,,755,195,86567
