Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 21:27:27+00:00,1477391039900094465,"Watcher Guru 2022 Price Predictions

#Bitcoin: $100,000 
#Ethereum: $10,000
#BNB: $1,500 
#Solana: $500
#AxieInfinity: $300
#Chainlink: $100
#Polkadot: $100
#SandBox: $10
#Cardano: $6 
#MANA: $6
#MATIC: $4 
#XRP: $4 
#DOGE: $1 
#VeChain: $1
#CRO: $1
#SHIB: $.0001
#SAFEMOON: $.01",WatcherGuru,"Texas, USA",4336,919,1277706
2022-01-01 16:25:12+00:00,1477314977191309314,"Gather in 2022! 
1000 $kUSD for Bifrost New Year Meetup Warm-up #airdrop

1⃣ Follow Bifrost Twitter
2⃣ Retweet this tweet
3⃣ Tag 3 friends &amp; Leave your #Polkadot address
4⃣ Like this tweet

We will draw 100 lucky winners on January 7. Good luck in the New Year！ https://t.co/JgSluLQfuT",bifrost_finance,,1880,1705,81189
2022-01-02 16:31:00+00:00,1477678824036917251,"#VISION2022

""There will be some big trends: The growth of #Web3 infrastructure, more popular #Metaverse. #Polkadot ecosystem will also have a big improvement since crosschain massage passing will launch soon.""

- Marvin @marvin_tong, Co-Founder of @PhalaNetwork https://t.co/lFBDRebIdK",kucoincom,,776,330,2111047
2022-01-03 15:24:19+00:00,1478024432228708352,People still don't understand what $DOT will bring. Some think it'll only have 100 projects. They don't understand each parachain could have a hundred great projects = 10k projects running together on one blockchain giving them shared security and interoperability - Polkadot.,Kusamaximalist,,831,133,7717
2022-01-03 12:09:11+00:00,1477975325300645895,"The Most Developed Cryptos on @Github in 2021 🚀

According to @Santimentfeed, @Cardano, has become the most developed project in the industry, followed by @Kusamanetwork, and @Polkadot. 

👉https://t.co/gjKPmOazyB https://t.co/JHXmWSe0YS",CryptoRank_io,,516,163,184861
2022-01-04 16:28:15+00:00,1478402910203441152,🔁 RETWEET if you understand #Polkadot,PolkadotBoss,,404,218,24545
2022-01-04 16:03:52+00:00,1478396774519816195,"With #Web3 now the center of a lively debate, it’s worth revisiting the following post, originally published in 2014 and now a seminal piece in the crypto canon, by @gavofyork, a co-founder of Ethereum who went on to found @Web3foundation and @Polkadot.

https://t.co/c37pcnFoms",CoinDesk,"New York, USA",1155,344,2927204
2022-01-04 13:59:33+00:00,1478365488870825987,".@dot_finance is migrating away from Binance Smart Chain to the @MoonbeamNetwork on @Polkadot.

@shauryamalwa reports

https://t.co/KqWbYZ2kg0",CoinDesk,"New York, USA",667,157,2927204
2022-01-05 22:10:35+00:00,1478851449115324416,"The new @ElectricCapital report is out! 

Some highlights:
1/ @Polkadot continues to have incredible developer adoption and is the 2nd largest developer ecosystem behind Ethereum. https://t.co/XIAcj2Ul9H",MoonriverNW,Kusama,759,193,125793
2022-01-05 17:45:39+00:00,1478784773975912454,"We've secured a @Polkadot parachain slot for @efinityio, now what?

Find out what's next for #Efinity—Crowdloan rewards, parachain onboarding, development, and more: https://t.co/EEdqB4CZKH

$EFI $DOT #Polkadot #Parachain #NFTs",enjin,Singapore,646,130,538940
2022-01-06 22:15:00+00:00,1479214945745129472,"I think #Chainlink, #Cosmos, #Polkadot, #Ethereum are going to do absolutely amazing during this year.",CryptoMichNL,"Amsterdam, The Netherlands",3704,281,621908
2022-01-06 22:13:34+00:00,1479214584925929474,"As previously scheduled by Referendum 39, the 7th parachain auction has begun! Auction 7 will take place over the next 7 days, with the winner being onboarded at the beginning of lease 7. So far 13 parachains are taking part!
For more info &amp; to contribute: https://t.co/zFSxsozsSF https://t.co/h3UCpwD6R7",Polkadot,,1116,193,1331982
2022-01-08 09:55:25+00:00,1479753600561729537,"The peak high bull cycle prediction:

#Bitcoin $250,000-300,000
#Ethereum $15,000-20,000
#Polkadot $250-350
#Chainlink $150-300
#Cardano $5-10
#Elrond $1000-2000
#KASTA $10-30
#VeChain $1-3

We are in the middle of a supercycle, the big gains are yet to come!",rovercrc,Bitcoin 🤩🌙,1858,272,303379
2022-01-09 15:17:21+00:00,1480197004697518085,"% below 2021 high...
Ethereum $ETH: -38%
Binance $BNB: -39%
Terra $LUNA: -41%
Bitcoin $BTC: -42%
Avalanche $AVAX: -47%
Solana $SOL: -50%
Chainlink $LINK: -50%
Crypto. com $CRO: -56%
Polkadot $DOT: -59%
Cardano $ADA: -64%
XRP $XRP: -64%
Shiba Inu $SHIB: -65%
Dogecoin $DOGE: -81%",charliebilello,Join free newsletter here...,5717,1334,453004
2022-01-09 06:55:49+00:00,1480070791521787904,"🔳Ethereum Alternatives 

Today I spent some hours checking out Ethereum alternatives, focusing on how effectively the projects are open source and the code available on GitHub.

I've checked:
· Solana
· Cosmos
· Polkadot
· Cardano
· Binance
· Avalanche
· Algorand
· Zilliqa

↓",FrancescoCiull4,📧 me@francescociulla.com,579,119,116245
2022-01-10 20:19:59+00:00,1480635553762656262,"Current layer 1 blockchain usage, in transactions per second:

Dogecoin: 0.23
Polkadot: 0.51
Litecoin: 0.52
Cardano: 1.38
Ethereum: 3.00
Tezos: 3.31
Bitcoin: 5.43
Avascan (X+C): 7.79
Ripple: 17.88
Stellar: 70.06
Solana: 1,833.00",Brett_FTX,"Chicago, Miami",1367,315,52063
2022-01-10 18:20:47+00:00,1480605556448448512,"Tomorrow $GLMR is launching. 

Great to see @lyu_johnny @kucoincom so bullish. 

This is actually a historic moment for @Polkadot itself and @derekyoo + team will be leading the charge for the entire $DOT ecosystem. 

Excited for this. https://t.co/JyP9wbCKax",DonnieBigBags,,668,123,144027
2022-01-10 08:30:00+00:00,1480456880807895046,"💥 World Premiere Listing 💥 

Glimmer $GLMR @MoonbeamNetwork gets listed on #KuCoin!

🔹Pairs: GLMR/USDT, GLMR/BTC
🔹Deposit: 10:00 UTC on January 11, 2022 (network: MOONBEAM)
🔹Trading: January 11, 2022 (UTC)

Details: https://t.co/irO0xdWuYR

#Polkadot https://t.co/DAJ1jyy1os",kucoincom,,1472,412,2111049
2022-01-11 23:31:50+00:00,1481046222177771525,"Recent #Binance listing: $GLMR 

@MoonbeamNetwork is an #Ethereum Virtual Machine (EVM)-compatible blockchain that operates as a parachain on the @Polkadot network.

Learn more 👇https://t.co/XCQ9APaYKy",binance,,1762,278,9292913
2022-01-11 18:02:19+00:00,1480963298036109313,"⚡️DOTPad supports #Moonbeam, #Substrate, #Kusama + #Polkadot 

🔥With #moonbeam now live, #DOTPad is getting ready 4 the influx of cross-chain building projects🤗

🎯For details, check it out: https://t.co/HQbii0gdMa

🗓️Book the date: #DOTPad 27th Jan
#DotPad #moonbeam #Polkadot https://t.co/seebTgHm2n",DOTPad_io,,986,465,76293
2022-01-11 17:30:02+00:00,1480955170720677888,"Imagine the next wave of the bull run starts here, in conjunction with the beginning of @Polkadot season. 

Jerome Powell is probably market buying $DOT $KSM $GLMR $MOVR $KILT $RMRK $ROME and Moonsama NFTs. 

I heard he's coming to join us in the Kusamaverse",DonnieBigBags,,900,120,144027
2022-01-11 15:25:02+00:00,1480923716343193604,"Days since All-Time High: 

#Bitcoin: 41 Days 
#Ethereum: 41 Days 
#BNB: 225 Days 
#Solana: 45 Days 
#Cardano: 110 Days 
#XRP: 1,444 Days 
#Polkadot: 47 Days 
#Avalanche: 30 Days 
#Dogecoin: 227 Days 
#Shib: 75 Days",WatcherGuru,"Texas, USA",1379,254,1277706
2022-01-11 15:17:44+00:00,1480921879414251530,"Today is a huge deal for $DOT holders.

@Polkadot now has smart contracts thanks for the launch of $GLMR @MoonbeamNetwork",DonnieBigBags,,1786,256,144027
2022-01-12 17:45:39+00:00,1481321489932640257,"#Klever has activated @Polkadot (#DOT) in the #KleverWallet 🔥

Available in the latest #Android 4.10.0 update

Read more in #KleverNews ⤵️
https://t.co/5AEbchgfqj",klever_io,,712,202,287392
2022-01-13 15:59:45+00:00,1481657228687937542,"Congratulations to @ComposableFin on winning Polkadot's seventh auction! 

Composable will be onboarded at block #9,388,800 [roughly March 11,2022] at the beginning of lease 7 with the other winners from auctions 6-11. Over 9K network stakeholders locked up DOT in favor! https://t.co/rxmy2dFdhC",Polkadot,,1467,292,1331982
2022-01-13 09:37:56+00:00,1481561140022894598,"'We are moving on to the phase where we have more latitude to build things on top of Polkadot, and the technologies beyond Polkadot 1.0, into what Polkadot 2.0 looks like.' - Polkadot founder, @gavofyork, right now at @CFCstmoritz. https://t.co/uFryI8CT8H",Polkadot,,1915,357,1331982
2022-01-13 09:31:09+00:00,1481559432148434944,"«As a technologist, disruption is the key thing» @gavofyork in conversation with @schmults 🎙️ about «Getting to know Gavin Wood: The visionary behind @ethereum, @Polkadot and @Web3foundation»

#cfcstmoritz https://t.co/yfwhtbgpmh",CFCstmoritz,St. Moritz,538,103,5013
