Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 22:53:45+00:00,1477412758752747520,"Dear @0xPolygon fam, in 2021 we achieved a lot. 🙏

- 100M+ wallets
- 3k+ apps
- 1B+ txs
- 6 new solutions (SDK, Avail, Hermez, Nightfall, Miden, Zero)
- Top Web3 names (Uniswap, Aave, OpenSea..)
- Big brands (D&amp;G, NFL, Macy's..)

Happy New Year, let's keep the magic going! 🦄💫",MihailoBjelic,Aiur,2315,313,52329
2022-01-01 22:35:09+00:00,1477408077322149888,"𝑯𝒂𝒑𝒑𝒚 𝑵𝒆𝒘 𝒀𝒆𝒂𝒓 🥳🐯
I will fight and be as strong as a tiger!

👏This is my entire collection.👏
𝗦𝗡𝗕 (ETH)
https://t.co/WiH1K7xatP
𝗦𝗖𝗨𝗕𝗬 (Polygon)
https://t.co/JqJikIYlPC
𝗕𝗔𝗠𝗕𝗜𝗜 (polygon)
https://t.co/M73zzm3Ne5

#NFTTHAILAND #NFTCommunity #PolygonNFT https://t.co/N7kwBDz2n8",FlukeTemp,"Thailand, Nonthaburi",95,88,1844
2022-01-01 22:18:49+00:00,1477403969060106245,"🦁The ""Leo-Gon""🔥
💀 Leo punk in Polygon art ⚡
😎 let's join the Gang 🤘
Original on Cryptodotcom

https://t.co/8FjWsi0oSz

#NFT #NFTs #LoadedLion #CRO https://t.co/3spn1joBaA",BirdyNFTArtist,,66,71,2517
2022-01-01 20:40:36+00:00,1477379250739040256,"Cryingmonster — Animals ; Polygon on opensea 
Could you please play with my monster? 

Drop now start 0.01 weth ✨

Cryingmonster — Animals ; https://t.co/Zf0BeDqWmW
Cryingmonster ; https://t.co/dZN0qezjJj
Discord ; https://t.co/7HMZqYSFWb

#ETH #NFTCommunity #nftcollectors https://t.co/eP1cM8kWNH",_kyume,"เชียงใหม่, ประเทศไทย",129,115,4530
2022-01-01 19:59:26+00:00,1477368892095967234,"#NFTCommunity: 12 days until our pre-sale!

📃 Secure your #whitelist spot
⛏️ Mint is 0.07 #ETH
🏳️ #NFT staking available
🎮 #P2E #NFTGame 
🪙   Game token on #Polygon
📈 1st Gen owners get 5 daily tokens

Discord: https://t.co/Q3rSA0if1t #NFTs https://t.co/fQ138NcWGz",PuffinPirates,Metaverse,273,759,6243
2022-01-01 16:44:59+00:00,1477319956874334217,"When I die, I ask that my remains blink a few times and then disappear to optimize onscreen polygon count",CartaMonir,she/her,1341,196,15991
2022-01-01 14:38:50+00:00,1477288209604358149,"🔥 #NFTGiveaway 🔥

1x Swag Apes #NFT

Rules:
1️⃣ Follow @swag_apesnft + @TikiTuka_
2️⃣ ❤️ + RT 
3️⃣ Tag 3+ Friends 

⏰ Ends in 24h

#NFTs #NFTdrop #NFTcollector #NFTCommunity #NFTArtist #NFTArtwork #NFTCollectibles #Giveaway #OpenSea #Polygon https://t.co/Ral5HEHQAM",TikiTuka_,Metaverse Giveaways,534,474,118859
2022-01-01 13:36:39+00:00,1477272560714895361,"Thank you for watching NHK Kohaku Utagassen - Don’t forget to check out “Perfume LIVE 2021 [polygon wave] on Amazon Prime Video during winter holidays❄️And see you soon at Perfume LIVE 2022 [polygon wave]✨

#prfm https://t.co/FkApMdXdfQ",perfumeofficial,Japan,2637,319,107237
2022-01-01 12:24:22+00:00,1477254370001444865,"Featuring @0xPolygonZero,  @0xPolygonHermez, Polygon Miden, and Polygon nightfall in the deep dive piece on ZK technology 🔯 https://t.co/45lV8V7Mv7",0xPolygon,Metaverse,808,149,1608431
2022-01-01 12:05:29+00:00,1477249617766928385,"#MassBit is excited to officially announce the integration with @0xPolygon, as they will be adding their chain to our Cross-chain Indexing product!

👉Check out the full details here: https://t.co/RHRwVxcv2Q

#DeFi #Web3",massbitprotocol,All around the world,724,161,5101
2022-01-01 11:50:44+00:00,1477245905325760512,"🎉Two new Neon DeRabbitives are now available!🐰

🪙0.012 $ETH polygon

https://t.co/0nmBi1ZId1

🔄RT, please

#NFTCommunity #ArtvisionNFT https://t.co/hewkCp6CIK",ArtvisionNFT,,136,59,127789
2022-01-01 09:12:35+00:00,1477206104572456966,"Only 8 NFTs left.‼️‼️
Are you lonely? they can be your friend
Smile Tabaji collection💝💝

price : 0.01-0.02 eth(Polygon)
Opensea🎉🎉
https://t.co/A9VRQpWfuf

#nft #NFTCommmunity #NFTTHAILAND #NFTdrops #NFTshill #opensea #NFTJapan #NFTartwork #NFTthaiartist #NFTthai #NFT #NFTs https://t.co/pdTjjlLmgo",TAbaJi_,,105,102,963
