Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 22:32:22+00:00,1477407376584159234,"Every crypto holder, including Ripple / XRP haters, should be outraged over the SEC’s handling of this case. That’s why over 1,500 non-XRPHolders have joined the fight. As I’ve said, you don’t have to root for Ripple or it’s executives to recognize what the SEC is doing is wrong.",JohnEDeaton1,,1267,259,211490
2022-01-01 18:08:01+00:00,1477340851021955079,"Welcome, 2022! From all of us at Ripple, we wish you a Happy New Year. 🎉 https://t.co/mRhUWKOlbc",Ripple,,6615,910,2526688
2022-01-01 17:03:17+00:00,1477324561368723456,2022 will likely be the year the biggest story in the #Crypto space unfolds: @Ripple vs @SECGov. Win for Ripple/#XRPLcommunity will put limits on @SEC_Enforcement power over crypto. A government win and the commission’s powers are enhanced to the point it could go after @ethereum,CGasparino,,3079,824,151660
2022-01-01 16:55:31+00:00,1477322606051221505,"The most important chart of all: XRP has outperformed Ethereum - until the SEC complaint. When this lawsuit is over, the x12 gap to Ethereum is eaten. By far. Not even counting the IPO of Ripple, Flare and smart contracts and NFTs for xrpl 2022. 2022 will be ours. 💯 https://t.co/4SNoIEkVy3",Leerzeit,,642,164,32157
2022-01-01 12:36:44+00:00,1477257481097121793,"When former #SEC chair who alleged @Ripple misclassified #XRP turns up at 
One River Asset Management in Greenwich offering only competing tech of Bitcoin &amp; Ethereum, at best undermines the perceived impartiality of SEC decision making, at worst belies corruption.
#SettleJan14XRP https://t.co/5GlXiMdg0h",RippleEffect_12,,687,247,61
2022-01-01 12:34:24+00:00,1477256894825779205,"Today, start your year right, vote early for Elijah Manley, Florida District 94.  @iElijahManley

It's a Holiday, but early voting begins today! Let's build our voting muscle.

Be the first ripple in the blue wave.",adammgentle,"Big Coppitt Key, FL",191,79,56175
2022-01-01 11:53:45+00:00,1477246665363009548,"When I said let's make it a great year, not wait for one, this is what I meant. I just filed my official complaint with @CFPB against the @SECGov . @bgarlinghouse @Ripple @JohnEDeaton1 @EleanorTerrett @CGasparino @RoslynLayton #RETWEET #ETHGate let's finish strong! https://t.co/lpryWc4wsa",DigPerspectives,,1354,468,119289
2022-01-01 09:14:51+00:00,1477206676726063108,"New Years competition to start off 2022 💥500 bumcracks to 10 followers simply 💥
✅follow @ArtfulDodgerMC 
✅retweet 
✅#rewind
Ends 02/01/2022 13.00(GMT)
Let’s go 💥💥💥💥💥 @ArtfulDodgerMC #Competition #Giveaway #xrparmy #NFTs #music #blockchain #ripple #XRP #Airdrop #2022 https://t.co/AYSp0xv5nX",BCXRP,"London, England",375,379,11976
2022-01-01 08:01:28+00:00,1477188209561899012,"Happy birthday to Alfie, Benjy, Millie, Ruby, Eeyore, Pooh, Ripple and Shocks! 🥳 https://t.co/Y1oCwBJlKI",DonkeySanctuary,Worldwide,782,77,72609
2022-01-01 05:54:33+00:00,1477156268443848705,"More https://t.co/vZIuPqXDpo sacrifices so far.
#Stellar #XLM $15,840
#Ripple #XRP $39,292
#Tron #TRX $43,821
#EOS $24,731
#Theta $6,931
#Tfuel $851
#BNB $1,398,431
Other coins on #Binance #BSC: $3,600,000
#Matic coins: $559,101
#AVAX $441,718
We're coins adoption left and right! https://t.co/oKZcFSpwTE",RichardHeartWin,PulseChain.com HEX.com PulseX,381,79,249179
2022-01-01 02:05:16+00:00,1477098566833246211,"#XRP - once Settlement and Relisting of $XRP, this will cause the BIGGEST fomo ever in crypto, XRP may be one of the most profitable crypto in 2022! Get ready! Red box are buy opportunities! 😉 Happy New Years! #Ripple #XRPCommunity

https://t.co/2WZ1Gd7hGU",jaydee_757,Virginia to California,946,178,23323
2022-01-02 23:42:41+00:00,1477787460390240257,"Where's @Ripple headed?

Check the jobs:
15 Liquidity engineers/analysts 
CBDC Automation Engineer
Sidechains Automation Engineer
2 AML/Sanctions jobs
NFT Program Manager
DeFi Marketing Manager
2 CBDC Product Managers
2 Tokenization Product Managers

https://t.co/FjwBx7863T",Mark_Phillips,DC / Northern Virginia,654,158,9141
2022-01-02 19:36:23+00:00,1477725477892726788,If you remember this from 2017 it leads to one of two conclusions regarding JP Morgan.  They were either working to hold @ripple back(and Brad would know this by now) or All The World's a stage.  I don't think there is any in between. https://t.co/nuDgEnwjSy,digitalassetbuy,United States,354,92,282787
2022-01-02 19:07:00+00:00,1477718085792673805,"With a single connection, receive access to:
➡️ The best #blockchain technology for global payments
➡️ On-demand liquidity as an alternative to pre-funding
➡️ Operational consistency through a common rulebook

See how #RippleNet works. https://t.co/t4pX4ldAlf",Ripple,,3164,926,2526688
2022-01-02 16:21:18+00:00,1477676385288269831,Ripple the global take over #XRPtheStandard #XRP https://t.co/gI6gwuTEWr,riddles00,Dark to light,812,229,15554
2022-01-02 05:22:11+00:00,1477510510308327428,"Chandigarh Municipal Polls result in the favour of AAP, seem to cause a ripple effect in upcoming Punjab Polls.",aartic02,,550,120,248716
2022-01-03 23:31:10+00:00,1478146952042790913,"WHO SUES OVER $585 (no not 589)?

On May 3, 2018, a lawyer filed a putative class action against @Ripple and @bgarlinghouse because his client lost $585 trading #XRP. 
👇
https://t.co/68yz7J77nj",JohnEDeaton1,,699,128,211490
