Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 22:14:44+00:00,1477402942412050434,"What #Project  has the potential to 100✖️2022🔥🔥
Vote for your community, Like, Retweet &amp; Comment 
🚀 VOTE end in 24 hrs ⏰ 🚀

   #BitShiba  @BitShibaToken
        #SHIB        @Shibtoken 
#SAITAMA  @InuSaitama
#KISHU  @InuKishu

#BSCGemsAlert  #BSC #Saitama #KISHU #BabyDoge",BSCGemsAlert,Etats-Unis,526,299,182760
2022-01-01 20:46:47+00:00,1477380808541458435,Shiba Inu Launches DAO to Hand Power to the Community https://t.co/Awf4Oh4GWv #SHIB #SHIBARMY,GossipShib,$0.10 Dream $SHIB,419,141,53213
2022-01-01 19:51:34+00:00,1477366912359321601,"What is Shiba Inu’s Layer 2 Solution ‘Shibarium’? Complete Details Revealed. (#SHIB)

https://t.co/meYA5YO8mY",WatcherGuru,"Texas, USA",1944,563,1277717
2022-01-01 19:32:58+00:00,1477362232254160896,The developers behind the Shiba Inu #crypto protocol have announced the launch of a #DoggyDAO in order to give more power to #SHIB users. https://t.co/1IgaFS74ss,BTCTN,World Wide,1685,542,2651668
2022-01-01 19:09:51+00:00,1477356412091068416,"Happy New Year #ShibArmy! 

We can't wait to shine brighter this year, with all of you, and hope all your dreams come true in 2022. 

Onwards and upwards! 🐶 WOOF! 

Thank you for your continued support. Truly the best community in crypto! https://t.co/QgR2thmSrI",Shibtoken,,19586,4585,3435222
2022-01-01 18:50:05+00:00,1477351439710130177,"‘Shiba Inu $SHIB To The Moon’ Truck Spotted In Many Parts Of The World

Source:
https://t.co/OLz2aB7w3l",shibainuart,🌌,2067,597,336723
2022-01-01 18:48:20+00:00,1477350998888697861,"Shiba Inu $SHIB Projections Look Bright for 2022, Binance Coin’s Rally May Come to A Halt

Source:
https://t.co/dg7F58J9RJ",shibainuart,🌌,1318,390,336723
2022-01-01 18:46:46+00:00,1477350604578066432,"Shiba Inu $SHIB Launches Beta Version of DAO to Give Users More Authority Over Crypto Projects

https://t.co/u3zY3e05kd",shibainuart,🌌,1794,563,336723
2022-01-01 17:26:34+00:00,1477330422736457728,"$SHIB 2022 will surprise the world. Let’s go #ShibArmy!

#FirstPost2022 #SHIB #ShibaInu",shibainuart,🌌,3005,844,336723
2022-01-01 16:56:27+00:00,1477322843100692484,Shiba Inu Beats Bitcoin In Popularity In 2021; Gets 43 Million More Views https://t.co/ZHKAbAoW6X,GossipShib,$0.10 Dream $SHIB,1033,302,53213
2022-01-01 14:20:45+00:00,1477283658306306055,"Continuing with our road map, the DAO is another step towards decentralization. #ShibArmy

#DoggyDao #Bone #ShibaSwap 
#DAO #Crypto 
 Shiba Inu Announces Beta of DOGGY DAO https://t.co/tSR7rt54Mn",ShibInformer,🚀       🔴.·,1289,415,514684
2022-01-01 12:31:26+00:00,1477256148990443521,"Shiba Inu Unveils First Phase of ‘DOGGY DAO’ to Empower $SHIB Holders #SHIB 🚀🚀🚀

https://t.co/9RqyUnJcDB",ShibReports,,1185,325,314602
2022-01-01 12:13:30+00:00,1477251634736545794,Handing Power to the Shiba Inu Community (SHIB) Team Launches Beta Version of Doggy DAO  #SHIBARMYSTRONG  https://t.co/pKLcFCCnLH,GossipShib,$0.10 Dream $SHIB,496,143,53213
2022-01-01 08:12:08+00:00,1477190893652295680,Shiba Inu Unveils First Phase of ‘DOGGY DAO’ to Empower $SHIB Holders #SHIB 🚀🚀🚀 https://t.co/vE71QVaNPG,DuncanGray,London ~ Zürich ~ Prague ,898,264,79556
2022-01-01 04:53:53+00:00,1477141003823763458,"The biggest pieces for the biggest year
@Shibtoken @DogelonMars 

#dogcoins &amp; #diamondboyz https://t.co/OUePJ1X6y1",JohnnyDangandCo,"6224 Richmond Ave, Houston, TX",915,347,51529
2022-01-01 00:59:35+00:00,1477082040046657536,"Shiba Inu: With ShibaSwap incoming here’s what to look forward to 

https://t.co/o3kwUXecBg",WatcherGuru,"Texas, USA",1711,432,1277717
2022-01-02 20:10:36+00:00,1477734088224169987,"Dogecoin Competitor Shiba Inu $SHIB To Launch New Decentralized Autonomous Organization (DAO)

Source:
https://t.co/b0K6FSzueG",shibainuart,🌌,2667,865,336723
2022-01-02 20:08:26+00:00,1477733542645809155,"Current $SHIB holder count: 1,112,241 🚀🚀🚀

#SHIB #ShibaInu #SHIBArmy #SHIBARMYSTRONG",SHIBQueenie,Australia,1454,317,40359
2022-01-02 14:58:49+00:00,1477655628101390343,"Shiba Inu’s Doggy DAO to “provide immediate power to the community

https://t.co/ziy45dSMji",WatcherGuru,"Texas, USA",2178,566,1277717
2022-01-02 13:29:06+00:00,1477633049965826049,Shiba Inu Beats Bitcoin In Popularity In 2021; Gets 43 Million More Views  #SHIB 🚀,ShibReports,,2451,459,314602
2022-01-02 11:48:49+00:00,1477607810972139520,"#ShibaInu Shedding #MemeCoin Tag. With the upcoming roadmap, $SHIB no longer a “joke” among retail and institutional investors, aiming directly at traditional exchanges. #SHIBARMYSTRONG @shibtoken ⁦@ShytoshiKusama⁩ ⁦@shibainuart⁩  https://t.co/1NI39cFopI",RodniCypher,The Internet,259,104,12733
2022-01-02 10:33:27+00:00,1477588846405632003,Shiba Inu Beats Bitcoin In Popularity In 2021; Gets 43 Million More Views  #SHIB 🚀🚀 https://t.co/oEVhPqZL3N,DuncanGray,London ~ Zürich ~ Prague ,2729,743,79556
2022-01-03 21:59:11+00:00,1478123803041480714,"shiba inu milk cream donuts 
୨୧ sweet_essence_ on ig https://t.co/S5C5w4BNln",ichicuqui,🍰🤍🎀🧁💝🍭,3237,590,95102
2022-01-03 19:13:55+00:00,1478082210980720641,I smell @RobinhoodApp listing this week. #shibainu #SHIBARMY,Karandeep143000,Kanpur,943,198,112
2022-01-03 17:48:27+00:00,1478060704854913028,"Shiba Inu is already turning heads as it enters 2022 (#SHIB) 

https://t.co/DGdqzbGv8T",WatcherGuru,"Texas, USA",2366,617,1277717
2022-01-03 15:37:04+00:00,1478027640850108420,"CAPTAIN SHIBARROW ⛵🦜

Ahoooy! Arrrr 🏝🏴‍☠️

PRESALE AND LAUNCH On Friday Jan 7th

New project from well known Dev of Baby Doge Billionaire (90X) and SHIBORG INU (45X and 75 Mio Mc!)

The next Shiba Inu?! 🚀🚀

Join the Community for more:
https://t.co/YaRnDVeSmn

@ShibarrowToken https://t.co/5QtV7yshFy",Xenos_Giveaway,,1714,1927,248005
2022-01-03 14:57:58+00:00,1478017799448633346,"What #Crypto are we all stocking up on today? 

#BNB #BTC #ETH #shibainu #SAFEMOON #NFTCommunity #Saitama #BabyDoge #SAFEMOON #KingFloki",OfficialTravlad,Bitcoin Maxi,401,127,331465
2022-01-03 10:53:47+00:00,1477956351623983105,What’s the next 10x coin???  #SAFEMOONV2 #BabyDogeCoin #DogecoinToTheMoon #shibainu #cryptocurrency #memecoin @BabyDogeCoin,vivekcrpt0,"New Delhi, India",423,219,4912
2022-01-03 10:37:03+00:00,1477952136604487681,Shiba Inu Gift Cards: You Can Now Gift Your Friend SHIB Directly Through Shiba Inu Gift Cards https://t.co/6geroPo7zB #SHIBARMY,GossipShib,$0.10 Dream $SHIB,483,165,53213
2022-01-03 06:42:58+00:00,1477893230637191168,"Shiba Inu price presents a buying opportunity before $SHIB rallies 30%

📈🚀🚀🚀🚀🚀
https://t.co/vFbGZlQJTJ",army_shiba,,698,174,329912
2022-01-03 05:54:18+00:00,1477880981516345344,‘Shiba Inu To The Moon’ Trucks Spotted In Several Countries; Will It Start Another Upsurge In Values #SHIB 🚀🚀 https://t.co/Zg3gmkAMFq,DuncanGray,London ~ Zürich ~ Prague ,910,251,79556
2022-01-03 04:24:13+00:00,1477858311622230017,"💥💥💥1st 500 people x 2000 GFSI tokens💥💥💥

First 500 people who complete the task will receive 2000 tokens each.

Task:

1.✅Follow @GodfatherShiba
2.✅Retweet this post
3.✅Vote Godfather Shiba Inu Token: https://t.co/hpQpvHi8r5
4.✅Fill this form: https://t.co/aJg6pzaa8b",Missypromotes, My Ongoing Giveaways 👉,1192,1436,287310
2022-01-03 03:18:20+00:00,1477841730183385088,Behind every #Crypto there is a community. Behind #shibainu there is #ShibaArmy 🔥🔥🔥🔥 $Shib #SHIB https://t.co/TbUoZD2ZHh,ShibaBrew,ShiBerse ,367,130,4450
2022-01-04 22:26:59+00:00,1478493185307385859,Hey $Shib fam Don’t Make The Same Mistake Bart Did &amp; HODL! Diamond hands 🙌 #shiba #shibainu #SHIB #SHIBARMYSTRONG 🔥🔥🔥🔥🔥 https://t.co/518mnxlmP4,ShibaBrew,ShiBerse ,455,168,4450
2022-01-04 16:53:00+00:00,1478409136194785283,"TODAY: Ethereum Whale Scoops Up $3.6 Million Worth of Shiba Inu.

https://t.co/euwQfj3r9Y",ShibReports,,1468,348,314602
2022-01-04 15:49:21+00:00,1478393118085074957,"New drop🔥🔥 the last one 🔥🔥
""Shibdogh want to be?"" Collection 🐕🐶
No.50 Drop now ! https://t.co/nwlufGTiw6 It's about shiba inu crazy characters want to grow up. If you like you can collect on opensea, Thank you 💕🥰 #NFT #NFTCommunity #NFTTHAILAND #NFTartist #NFTCommunity https://t.co/vqnHeZZpHn",shibdogh,,89,104,1849
2022-01-04 15:48:46+00:00,1478392971246637063,"Hey  @RobinhoodApp $SHIBA deserves every exchange in the world. 
 #shibainu Agree =RETWEET https://t.co/JXPGposCSj",lif_e_Tm,भारत (INDIA) ,948,376,7780
2022-01-04 15:02:22+00:00,1478381297173155845,"@MattWallace888 @ChuckLiddell @dogecoin @safemoon @Shibtoken It’s sad because I started w/Doge but you’re the worst type of “influencer.” Instead of bringing communities together, you use your platform for toxicity and promote tribalism mentality rather than unifying us &amp; focusing our energy on the fight against fiat and centralized banks.",0xArjay,"Charlotte, NC",1240,175,8531
2022-01-04 14:04:36+00:00,1478366757656084482,"JUST IN: #BabyDogeCoin has passed #SHIB in total holders. 

Baby Doge: 1,119,178 

Shiba Inu: 1,116,615 https://t.co/ex5bPHHCvI",WatcherGuru,"Texas, USA",4080,1329,1277717
2022-01-04 13:49:37+00:00,1478362986519609350,Once that #SaitaMask drops @elonmusk is gonna say damn mates I should have bought a #saitamawolf instead of a #shibainu #dogecoin dog named #FLOKI #jreknew #WarrenBuffettshouldknow @michaelb4jordan will know too #heir @Heir_Company  @Jumpman23 @HeirJordan13 will know @MikeTyson https://t.co/y8eDwHq55d,jreentertain,"Alaska, USA",252,83,26391
2022-01-04 12:41:20+00:00,1478345804033241090,"Is happening, @BabyDogeCoin has flip @Shibtoken , Soon we will flip #SHIB in #CoinMarketCap and cut series of zeros. 
In the Days like this, it will be fun to sit back and watch how far we have gone. #BabyDoge family is the best💯🤑

#Bitcoin $ETH #BNB #BSC #NFTs https://t.co/4Sz24X35As",Jamez_Sarah,,1156,380,4090
2022-01-04 12:35:30+00:00,1478344334726545411,Ethereum Whale Scoops Up $3.6 Million Worth of Shiba Inu #SHIB 🚀 https://t.co/kCl3t7cFSx,DuncanGray,London ~ Zürich ~ Prague ,1494,390,79556
2022-01-04 12:35:01+00:00,1478344214891089921,Shiba inu community woke up. Time to wake up harder #safemoon army 😂 https://t.co/Z3UuBtFedO,seeking_peace_7,Area 34,156,57,10315
2022-01-04 12:10:15+00:00,1478337982105108486,"9 Businesses Across the Globe Join the ‘Shiba Inu Burn’ Pledge! 

https://t.co/FgV44AfRvW",WatcherGuru,"Texas, USA",2173,580,1277717
2022-01-04 09:53:09+00:00,1478303476547563520,@ChuckLiddell @dogecoin @safemoon @Shibtoken #SAFEMOON ARMY VOTE 🔥,SafemoonWarrior,,800,159,91378
2022-01-04 08:09:07+00:00,1478277298617036801,Shiba Inu (SHIB) Decimates Over 125 Million SHIB Within Last Five Day #SHIB 🚀🚀🚀 https://t.co/Y9f64T4B0a,DuncanGray,London ~ Zürich ~ Prague ,1224,361,79556
2022-01-04 08:07:20+00:00,1478276848010534917,"Who will win this?  Which #cryptocommunity is the strongest! between these 3? 

@BabyDogeCoin @safemoon @Shibtoken #babydogecoin #shiba #SAFEMOON",darcydonavan,"Los Angeles, CA",2524,1497,230548
2022-01-04 08:03:44+00:00,1478275942460051458,"All Eyes are on Shiba Inu!

$SHIB IS THE FUTURE! 🐶🔥 https://t.co/2vTCfW7n06",army_shiba,,866,221,329912
